날짜,제목,조회수,공감,비공감,본문
2025.01.03 13:03,바보형아 오랫만에 꿈틀하다,1279,0,0,드뎌 K반도체도 꿈틀하네 ㅋ 숏들이 깊었나봐 이제 죽 가자 제발
2024.12.24 09:15,한국주식 개망,354,0,1,필라델피아 반도체지수는 3프로 상승 울나라반도체두는 1프로도 상승못함 ..이게 한국의 현주소임 누가 이런나라에 투자할까? 언제든 간첩들이 준동해서 사회가 혼란해질수있는 나라에?
2024.12.23 13:59,2024년 국내 상장 ETF 수익률 순위,452,0,0,2024년을 마무하며 국내 상장 ETF 중 어떤 ETF가 가장 수익률이 높았는지 알아보았습니다.  https://econsis.kr/top-performing-etfs-of-2024
2024.12.20 10:30,반도체만이 아니라 국장은 끝났습니다.,923,1,1,"코로나 이후 3천 코스피 찍고 쭈욱 하락세... 2200 ~ 2600 박스권 몇 년동안 계속 되고 있네요.  그에 반해 미국의 나스닥 에센피 다우지수는 전고점을 돌파했고, 현재 환율도 1450원 왓다갓다 하는데 더 이상 기회비용 날리지 마시고 국장 탈출하세요.  요즘 미국주식 거래수수료도 26년까지 100% 무료로 이용할 수 있다고 하니 안하면 바보입니다. 특히 단타나 스켈핑 위주로 트레이딩 하시는 분들한테는 필수라고 할 수 있죠.   --------    https://naver.me/5gFhBZi1    ---------  해당 네이버 링크 클릭하시면 미국주식 수수료 100% 무료 증권사 이용 방법에 대해 확인할 수 있어요. 성투하세요!"
2024.12.03 08:40,어제 중국 반도체 수출금지 속보‘분석‘,3534,1,0,어제 속보 내용 살짝 분석해놓은 글이네요. 같이 봐요~ 로이터 뉴스원문 포함   https://m.blog.naver.com/laita2/223680542659
2024.11.25 12:27,"기재부, AI칩(반도체) 재정투입 보도자료 관련 내용 공유",3130,1,0,"정부부처에서 보도자료 낼때, 1) 확정된 바 없다. 2) 사실이 아니다 두 가지로 배포하는데, 22일 보도자료는 반영될 공산이 크다고 추정됩니다. 관련 보도자료와 의견이 괜찮네요. https://blog.naver.com/laita2/223672082965"
2024.11.18 09:07,머야 삼전 6% 오르고 있는데,5300,0,0,0.5%도 못오르네
2024.11.14 11:58,한국 반도체는 끝인가?,5951,1,0,이건 좀 심하잖어
2024.11.19 12:26,한국 반도체는 끝인가?,4399,0,0,한국이 끝인듯
2024.11.04 17:10,3만 3천 줍줍 ,660,0,0,과연 내 퇴직금의 미래는??
2024.09.10 17:30,하하하……,10976,1,0,어찌합니까~ 어떻게 할~까요~~ 30프로…. 하하하하
2024.09.02 16:25,털어야하나~~~어쩌냐~~,12647,3,0,죽은주식인듯한데~~
2024.08.26 10:36,뭐지~~ 계속 떨어지네~~,14035,0,0,ㅠㅠ
2024.08.16 09:03,9시만 되면 돈이 복사가 되는데 이거 맞는건가요?,16218,0,0,어리둥절
2024.08.14 08:07,시간외 이건 뭔가요?,16580,0,0,가격변동이 있었네요  조용히 다지며 가야하는데 사람들 마음에 불을 집히려나 4만원 미만 매수 42천원~43천원 확인하면  무조건 먹는자리
2024.08.13 16:25,8/13 시간외 16:12분 체결 1300사신분..,16094,0,0,그럴 돈 있으심 저 치킨 좀 시켜주세요
2024.08.12 09:20,이거 맛있네,6389,0,0,사자마자 2% 오르네
2024.08.03 15:41,헐,4960,0,0,3월달에 42600에 전량  차익실현하고 타이거인도니프티50으로갈아탔는데 이렇게 큰조정이오다니 ? 반도체는 미래인데 ? 기회보고 다시입성해야겠네요  사실 너무 올라 겁먹고 차익실현했는데 ?
