날짜,제목,조회수,공감,비공감,본문
2025.01.08 19:36, 평단들  어떻게 대시나요?,291,4,2,평단 9171 수량 9200주  오늘 종가 수익률 +80.55%  1년만에 이렇게나 많이 오를줄 몰랐는대 너무 올라서   40% 익절할려고요
2025.01.08 14:44,"1만주 16,500 부근 전량 매도..",423,3,2,"저번달 초중순 13,000 밑으로 한창 떨어질때 허겁지겁 주워담은거 오늘 한번에 털었다  개별주 하나 더 갖고 있으니.. 더 가도 얘로 먹지 뭐.... 쩝..   매도가 항상 어렵다.. 많이들 벌어라.."
2025.01.08 09:06,냅두믄 천국간다,484,2,1,헤으응...
2025.01.05 20:36,조선 산업 분석글입니다.,1273,2,4,https://blog.naver.com/ke2p_goin/223715391096
2025.01.02 14:02,올해 대장etf,2197,9,1,2만원은 가야지
2025.01.02 19:34,올해 대장etf,1527,5,1,"25,000원"
2025.01.07 19:08,올해 대장etf,172,0,1,"4월에 25,000도달"
2024.12.27 01:15,한화오션 맞어?  ,2497,2,2,한오 삼중 비중 그렇게 분배하는게 맞어? 연금 저축이니깐 매수 하지 공부 좀 해라
2024.12.26 10:03,왜 덜 오르는거 같죠?,2990,1,0,운용능력인가?
2024.12.25 12:32,배당금?,2797,2,0,올해 실적이 좋으니 오랫만에 배당금도 있지 않을까 기대해 봅니다. 없어도 상관없이 길게 가져 갈 생각입니다.
2024.12.23 12:39,내년이 더 기대된다,624,0,1,무럭무럭 자라거라~
2024.12.22 22:30,2024년 국내 상장 ETF 수익률 순위,683,2,1,2024년을 마무하며 국내 상장 ETF 중 어떤 ETF가 가장 수익률이 높았는지 알아보았습니다.  https://econsis.kr/top-performing-etfs-of-2024
2024.12.20 11:12,"k방산, K조선 ETF, 훌륭한 놈들 ^^",1111,1,3,최근 탄핵 사태 이후 정치경제적 환경이 안정되지 않고 KOSPI가 1400선 아래로 위협 받고 있는 폭락장(?)에서 두 섹트에 투자하는 ETF는 큰 폭은 아니지만 꾸준히 상승하는 기염을 토해내고 있네요. 이쁜 놈들.. 어떤 이는 한국 증시는 믿을 거 못되니 코스피 전 고점 회복하면 탈출하라고 적당히 팔고 미국 ETF로 갈아 타라고 하고.. 어떤 이는 이 두섹트의 꾸준한 실적 개선이 기대되는 3~5년 장투하라고 하고.. 여햐튼 저도 단타로 투기(?) 생각은  없는데 뭐가 답일 까요?  ^^ 단톡방의 고수님들 생각은??
2024.12.18 11:37,시원하게 좀 뚫자,1034,2,0,고개 좀 들라하면 맨날 위에서 망치질 때리네
2024.12.16 10:25,한화오션 비중 1위됐네 ㅋㅋㅋㅋ,1897,1,2,ㅋㅋㅋ 당장 던져라
2024.12.16 09:29,얘도 되게 좋은애 같은데,1315,0,1,테마형중 붙잡고 있는 몇개중 하나다
2024.12.15 22:53,엔진 보고서 리뷰입니다.,1222,0,2,https://blog.naver.com/ke2p_goin/223694554147
2024.12.13 17:14,조선 TOP3 완벽분석,1714,0,2,https://blog.naver.com/altagamma22/223692516539
2024.12.13 12:16,개별종목 주가 감안하면 1%대는 올라야,1217,1,0,약간 뒷북 치네..  현재 0.81%
2024.12.11 23:00,동성화인텍 보고서 리뷰입니다.,1108,0,1,https://blog.naver.com/ke2p_goin/223690337642
2024.12.09 09:22,ETF 아닌가?,1937,1,4,ETF가 개별 종목 떨어지듯이 떨어지냐!!.. 중공업 문닫았냐?
2024.12.02 14:00,이제 국장에 살아남을 유일한 섹터,3888,26,5,"얘 딱 하나! 반도체, 전기차 산업과 달리 미국이 결코 단기간에 일으킬 수 없는 산업이고, 현재 미국을 포함한 대부분 국가의 해군력 유지나 증강을 위해 한국이나 일본조선소에 전적으로 의존할 수 밖에 없는 상황이라 당분간 크게 흔들고 갈꺼다. 기존 친환경 싸이클에도 나름 먹고 살만했는데 방산이 추가가 되었고 트럼프 테마버프까지 붙었네?? 게다가 인도의 선박발주러시? 진폭이 크면클수록 위로 크게 올릴테니 이제부터 진짜 벨트 잘매라.. 아직 1차 상승단계 진입했을 뿐.. 조만간 신조선가 갱신되고 트럼프 취임직후 USTR청원에 따라 미중 관세전쟁 들어가면 수혜는 전적으로 한국 조선소에게 돌아간다. 미국발 LNG 프로젝트 재개 서명과 동시에 LNG선, FLNG 발주 터지면 주가는 아무도 몰러… 형이 본 ETF에 대해 24년 2월경 ?던 글이 있으니 참고하도록… 얘는 특히 불황형 금리하락 등 매크로에 신경 쓸 필요 없다. 본디 조선업은 불황에 더 빛이났던 산업이라지? 킹달라 봐.. 1400원 이상은 묻지도 따지지 말고 실적이 담보된 수출주 사는거다. 이 때문에 25년은 산업섹터별 밸류 격차가 매우 심해질 것이다. 그러니 소중한 연금으로 노후 편안히 보내려면, 최소 5년간 안전~하게 대한민국 멱살잡고 끌고갈 섹터. 바로 조선업에 투자를 하라! 제군들, 중간에 낙오하지 말고 잘 살아남길 바란다. 쫄지말고! 이상."
2024.12.02 10:22,엄경아 입 털더니,3388,11,1,나락으로 떨어지네
2024.11.29 09:05,"한화오션, 英밥콕그룹과 잠수함 수출 전략적 파트너십 체결",3155,0,2,"한화오션, 英밥콕그룹과 잠수함 수출 전략적 파트너십 체결"
2024.11.22 16:12,이거 어디까지 갈까유 ?,6959,3,5,"최근 환율이 1400원 넘나 들면서 고공행진중,   환율감안 좀더 갈듯 한데   15층도 무리한 목표는 아닌듯 하네요."
2024.11.21 12:19,거 장난이 너무 심한거 아니오,5262,2,0,아침에 신고가 보여주고 3프로넘게 빼는건 무슨 초식이요
2024.11.19 23:04,조선 기자재 분석글입니다.,1063,0,2,https://blog.naver.com/ke2p_goin/223666677893
2024.11.19 01:25,트럼프   재수추어에   속지마라,1278,2,0,미국의   존스법모르면낭패당한다   특혜줄테니   미국에조선소  건설하란다
2024.11.15 20:23,매도시 세금 수수료,2446,0,1,오늘 조금 매도했는데 세금이랑 매도비가 0원으로 나오는데 이유아시는분.계신가용? 나중에 때가나영
2024.11.15 08:36,믿을거라곤 조선밖에 없네,1653,1,2,트럼쁘때문에 다른건 다죽겠네
2024.11.14 16:27,아~~~ 배부르당^^,1790,1,2,꺼~~~억 낼도 부탁혀
2024.11.14 15:45,14층 고지 안착 GO,1771,1,1,지난번 실패를 교훈삼아 이번에는 14층 안착 기대하겠습니다.
2024.11.12 08:58,조선 ETF 비교,2476,2,2,"트럼프 재집권으로 수혜가 예상되는 우리나라 조선산업.  조선 비중이 높은 ETF 4종목 비교해보고 투자하세요.   https://www.k-etf.com/compare?code=139230,441540,466920,494670      139230	TIGER 200 중공업 441540	HANARO Fn조선해운 466920	SOL 조선TOP3플러스 494670	TIGER 조선TOP10"
2024.11.11 09:55,현대힘스가 없네 ㅋㅋ,1624,1,2,아쉽구만 현대힘스만 있었어도 1.5만 넘었는데
2024.11.08 15:31,트럼프 = 조선,1691,8,1,이제시작  당분간은 크게 간다.ㅎㅎ
