Code,Name,Volatility,TotalReturn,AvgReturn,Sector,Volume,Amount,Marcap,Risk
459580,KODEX CD금리액티브(합성),0.01,0.25,0.01423588803165633,채권,417991,442666,92448,1
360750,TIGER 미국S&P500,1.07,-0.07,0.0850987086387694,해외주식,3479045,75735,72238,2
357870,TIGER CD금리투자KIS(합성),0.01,0.24,0.0135315352587706,채권,330704,18354,63284,1
069500,KODEX 200,1.45,5.71,0.1784442229797869,국내 시장지수,4895701,161915,57494,2
133690,TIGER 미국나스닥100,1.46,1.01,0.18120801569299566,해외주식,218886,30556,45134,2
488770,KODEX 머니마켓액티브,0.01,0.28,0.015878676739765493,기타,89804,9125,44362,1
423160,KODEX KOFR금리액티브(합성),0.01,0.25,0.014016083247165363,채권,41249,4502,43739,1
449170,TIGER KOFR금리액티브(합성),0.01,0.24,0.013692837851086992,채권,152550,16423,35146,1
379800,KODEX 미국S&P500TR,1.07,-0.15,0.08251519296108938,해외주식,2371342,47342,35021,2
381170,TIGER 미국테크TOP10 INDXX,1.58,4.46,0.3849492127291064,해외주식,2289671,58851,32143,2
273130,KODEX 종합채권(AA-이상)액티브,0.3,-0.72,-0.019326676554496134,채권,102498,11941,28145,1
381180,TIGER 미국필라델피아반도체나스닥,2.02,5.52,0.3976961497380805,해외주식,1235363,24775,27196,3
122630,KODEX 레버리지,2.89,10.57,0.313831064550639,국내파생,22524938,332822,24647,3
278530,KODEX 200TR,1.45,5.65,0.17906174068378966,국내 시장지수,411231,4782,23469,2
455890,RISE 머니마켓액티브,0.02,0.28,0.015599071229251601,채권,420514,22500,21926,1
310970,TIGER MSCI Korea TR,1.57,5.73,0.18888139557012854,국내 시장지수,4439,61,21184,2
458730,TIGER 미국배당다우존스,0.77,-1.59,-0.04394242119560484,해외주식,1641732,21194,19732,1
102110,TIGER 200,1.46,5.64,0.1759063680128631,국내 시장지수,2771955,91810,19382,2
233740,KODEX 코스닥150레버리지,4.36,20.55,0.5821003673257485,국내파생,33560803,246679,18841,3
481050,KODEX CD1년금리플러스액티브(합성),0.01,0.25,0.014207545593778213,채권,17182,17566,18153,1
453850,ACE 미국30년국채액티브(H),0.64,-7.57,-0.43089041140500556,채권,2536793,19756,17983,1
379810,KODEX 미국나스닥100TR,1.48,1.06,0.18415183619581413,해외주식,1080873,22640,17376,2
371460,TIGER 차이나전기차SOLACTIVE,1.61,-4.7,-0.21640947594110635,해외주식,1419978,12878,16913,2
360200,ACE 미국S&P500,1.07,-0.11,0.08427106340639862,해외주식,722388,15896,16588,2
214980,KODEX 단기채권PLUS,0.02,0.26,0.014752827573859416,채권,29325,3317,16001,1
385540,RISE 종합채권(A-이상)액티브,0.26,-0.69,-0.026838770859590372,채권,1107,119,13408,1
453540,TIGER 25-10 회사채(A+이상)액티브,0.02,0.29,0.017463899199597774,채권,175205,9490,13052,1
367380,ACE 미국나스닥100,1.47,1.01,0.1831973973951468,해외주식,497927,11942,12885,2
229200,KODEX 코스닥150,2.3,10.82,0.3119292221178503,국내 시장지수,6261304,74291,12341,3
476550,TIGER 미국30년국채커버드콜액티브(H),0.68,-7.3,-0.4121427039446013,채권,2733148,22979,11600,1
252670,KODEX 200선물인버스2X,2.93,-11.01,-0.3196307183578988,국내파생,142107610,344735,10990,3
494900,TIGER 25-12 금융채(AA-이상),0.02,0.26,0.014896286182316778,채권,13314,671,10758,1
148020,RISE 200,1.45,5.65,0.17813355458763025,국내 시장지수,828456,27710,10605,2
475630,TIGER CD1년금리액티브(합성),0.01,0.25,0.01437504896066619,기타,37436,38683,10471,1
102780,KODEX 삼성그룹,1.5,4.3,0.07507734407266538,국내 업종/테마,297725,2440,10249,2
491080,KODEX 25-12 은행채(AAA)액티브,0.02,0.26,0.014548660656102077,채권,580,58,9994,1
305720,KODEX 2차전지산업,2.69,0.75,-0.18293558571808718,국내 업종/테마,1886943,23961,9887,3
476810,KODEX 25-11 은행채(AA-이상)PLUS액티브,0.05,0.29,0.013381735794588186,채권,17713,184,9647,1
368590,RISE 미국나스닥100,1.48,0.98,0.17930793149276086,해외주식,219397,5087,9415,2
458760,TIGER 미국배당다우존스타겟커버드콜2호,0.67,-0.49,0.019868633574430004,해외주식,1017322,11163,9161,1
305540,TIGER 2차전지테마,2.68,0.32,-0.18313299893057833,국내 업종/테마,1221112,19015,8961,3
278540,KODEX MSCI Korea TR,1.41,5.6,0.1844792021331778,국내 시장지수,25772,284,8770,2
477080,RISE CD금리액티브(합성),0.01,0.26,0.014615037413793589,채권,9829,1010,8348,1
436140,SOL 종합채권(AA-이상)액티브,0.27,-0.76,-0.022738664019312918,채권,105,11,8309,1
446720,SOL 미국배당다우존스,0.8,-1.73,-0.0455460663391675,해외주식,503428,5965,7774,1
379780,RISE 미국S&P500,1.06,-0.05,0.08015486440249359,해외주식,357994,6796,7744,2
356540,ACE 종합채권(AA-이상)KIS액티브,0.3,-0.82,-0.024836406630580128,채권,6060,645,7466,1
157450,TIGER 단기통안채,0.01,0.23,0.012726844559342773,채권,9272,1013,7460,1
315930,KODEX Top5PlusTR,1.6,7.76,0.3480713330858581,국내 업종/테마,22568,482,7362,2
457480,ACE 테슬라밸류체인액티브,4.12,3.99,0.6559162174280091,해외주식,2564531,47893,7225,3
453870,TIGER 인도니프티50,0.72,-2.74,-0.1081016093156078,해외주식,600739,8299,7145,1
294400,KOSEF 200TR,1.44,5.57,0.16659719212995372,국내 시장지수,48490,2048,7130,2
153130,KODEX 단기채권,0.02,0.23,0.01365380075928593,채권,11166,1251,6916,1
329750,TIGER 미국달러단기채권액티브,0.51,2.49,0.21286441398822545,채권,465376,6138,6489,1
451540,TIGER 종합채권(AA-이상)액티브,0.27,-0.75,-0.02697866932204566,채권,7292,406,6484,1
458250,TIGER 미국30년국채스트립액티브(합성 H),1.14,-12.91,-0.7699690381689894,채권,331380,13024,6390,2
411060,ACE KRX금현물,0.84,4.9,0.3177161896750701,원자재,634415,11599,6348,1
314250,KODEX 미국빅테크10(H),1.74,2.13,0.20900149914352092,해외주식,164816,7831,6151,2
396500,TIGER Fn반도체TOP10,2.31,18.75,0.8713117705207822,국내 업종/테마,1525323,15466,5969,3
486290,TIGER 미국나스닥100타겟데일리커버드콜,1.42,0.88,0.16965706324936583,해외주식,1163479,12246,5879,2
