Code,Name,Volatility,TotalReturn,AvgReturn,Sector,Volume,Amount,Marcap
459580,KODEX CD금리액티브(합성),0.01,0.79,0.013345830439634257,채권,306572,324646,91179
360750,TIGER 미국S&P500,0.95,12.57,0.1923651501348108,해외주식,4862878,104465,71408
357870,TIGER CD금리투자KIS(합성),0.01,0.78,0.013267190627332578,채권,286913,15922,63284
069500,KODEX 200,1.15,-5.42,-0.09912100846380874,국내 시장지수,6088030,198315,55781
133690,TIGER 미국나스닥100,1.17,15.73,0.23563768514805217,해외주식,315085,43267,44306
423160,KODEX KOFR금리액티브(합성),0.01,0.78,0.013263235708392088,채권,39563,4317,43019
488770,KODEX 머니마켓액티브,0.01,0.88,0.014995852510194899,기타,74817,7601,39863
449170,TIGER KOFR금리액티브(합성),0.01,0.78,0.013290736780111612,채권,86731,9336,35166
379800,KODEX 미국S&P500TR,0.95,12.47,0.19042597119149737,해외주식,3469860,68361,34591
381170,TIGER 미국테크TOP10 INDXX,1.27,22.87,0.3380098493207413,해외주식,4097868,103493,31605
273130,KODEX 종합채권(AA-이상)액티브,0.23,2.26,0.04149250564910038,채권,62394,7283,28356
381180,TIGER 미국필라델피아반도체나스닥,1.73,5.96,0.11119366948207424,해외주식,821941,16037,26542
122630,KODEX 레버리지,2.29,-12.4,-0.2211306284727606,국내파생,26438622,378143,24051
278530,KODEX 200TR,1.14,-5.42,-0.10009893280060614,국내 시장지수,650998,7450,22984
455890,RISE 머니마켓액티브,0.02,0.91,0.015337667981471145,채권,449093,24026,20885
310970,TIGER MSCI Korea TR,1.21,-7.19,-0.13114199850933667,국내 시장지수,12456,170,20678
458730,TIGER 미국배당다우존스,0.85,6.51,0.10809680980432056,해외주식,1627596,20858,19551
102110,TIGER 200,1.15,-5.44,-0.09969460565878573,국내 시장지수,1646151,53709,18962
233740,KODEX 코스닥150레버리지,3.83,-24.48,-0.39704750408545825,국내파생,49440696,348862,18498
481050,KODEX CD1년금리플러스액티브(합성),0.01,0.78,0.01330929977496953,채권,11879,12143,18128
453850,ACE 미국30년국채액티브(H),0.79,-7.58,-0.14045518291584072,채권,2342458,18394,18090
379810,KODEX 미국나스닥100TR,1.18,15.87,0.23712499796298842,해외주식,1429571,29450,17216
371460,TIGER 차이나전기차SOLACTIVE,2.16,-6.18,-0.10388662356253113,해외주식,1507634,13778,16966
360200,ACE 미국S&P500,0.96,12.59,0.1919959962918222,해외주식,1256748,27289,16382
214980,KODEX 단기채권PLUS,0.02,0.87,0.014579740679595924,채권,15580,1762,16007
