Code,Name,Volatility,TotalReturn,AvgReturn,Sector,Volume,Amount,Marcap,Risk
196170,알테오젠,4.47,10.7,0.26169290473528595,생물공학,574465,179495322500,16822090234000,2
247540,에코프로비엠,3.48,-9.16,-0.5004690174981352,전기제품,552054,63893507300,11442757248000,2
028300,HLB,2.83,7.07,0.3948772333397441,건강관리장비와용품,814345,62308492700,10143109827600,2
086520,에코프로,3.77,-9.27,-0.5284559156309498,화학,1562847,98666225600,8467598424000,2
277810,레인보우로보틱스,8.45,89.12,3.467266296854167,기계,1951823,461318347000,4520166914000,3
141080,리가켐바이오,5.12,20.4,0.8440758248387026,제약,674148,80336234500,4363952289600,3
000250,삼천당제약,8.59,76.61,3.0595850594802574,제약,332609,51163907700,3666402873600,3
214150,클래시스,3.93,30.84,1.124479394970106,건강관리장비와용품,157568,8330561500,3432496531600,2
145020,휴젤,3.62,6.68,0.03057965793233482,생물공학,70151,18361642000,3321162695500,2
058470,리노공업,3.0,36.51,1.5654785304286336,반도체와반도체장비,96974,20429099500,3185655330000,2
065350,신성델타테크,8.4,60.73,2.6857927366106917,가정용기기와용품,1228184,133975766600,3127673282400,3
348370,엔켐,4.92,0.41,-0.310111531461185,전기제품,277288,39975834700,3082092850000,3
214450,파마리서치,4.14,19.39,1.0135471449045763,건강관리장비와용품,190186,47767727500,2653674000000,2
403870,HPSP,3.48,15.87,0.5142515141594823,반도체와반도체장비,1037340,30046158900,2429877299200,2
035900,JYP Ent.,3.37,0.15,-0.3588389855857657,방송과엔터테인먼트,377299,25405791800,2387783462400,2
068760,셀트리온제약,3.78,20.37,0.7621867834039701,제약,117793,6657081400,2367244100300,2
087010,펩트론,8.15,29.83,1.1252443051236702,생물공학,436302,44651317700,2362351290000,3
039030,이오테크닉스,5.18,25.29,1.1695740150938205,반도체와반도체장비,257701,43752275800,2099251320000,3
950160,코오롱티슈진,7.11,26.83,0.9515069631213213,생물공학,512197,13432351450,2066126660000,3
257720,실리콘투,5.09,42.04,1.6056548439048606,인터넷과카탈로그소매,1629321,55383969550,2036209677300,3
328130,루닛,6.74,3.68,0.4952679212923115,건강관리기술,704071,46941332400,1959434330000,3
263750,펄어비스,4.46,-14.84,-1.2422296087479925,게임엔터테인먼트,193569,5566032550,1843913438500,2
237690,에스티팜,3.96,20.77,0.5589969434585765,제약,120174,10910960700,1839958674400,2
214370,케어젠,4.05,48.99,2.079354293814037,건강관리업체및서비스,311828,10226022250,1788709500000,2
089030,테크윙,5.82,25.24,1.1938169796272695,반도체와반도체장비,1243494,55661921750,1686517071750,3
041510,에스엠,3.1,-4.86,-0.5504356668011986,방송과엔터테인먼트,243425,17173288600,1644095340800,2
095340,ISC,4.17,41.96,1.953238174983074,반도체와반도체장비,433380,32590700200,1627934054400,2
140860,파크시스템스,2.92,12.38,0.6483629686750252,전자장비와기기,28168,6359102500,1586179979000,2
310210,보로노이,5.78,22.88,0.612712199267619,제약,178335,15306509300,1567652956800,3
036930,주성엔지니어링,2.64,16.67,0.8028967278558391,반도체와반도체장비,729814,23606813250,1538583848550,2
298380,에이비엘바이오,4.48,16.26,0.4579252370882247,생물공학,569068,17491319800,1484669716500,2
096530,씨젠,4.79,30.75,1.195704671384348,생명과학도구및서비스,8153442,222097310550,1454493932900,3
178320,서진시스템,3.46,-5.74,-0.5398842834122886,전기제품,4321628,112212162350,1431510429300,2
293490,카카오게임즈,5.49,-2.14,-0.3641776720747749,게임엔터테인먼트,209803,3526203000,1401568690680,3
357780,솔브레인,3.07,12.34,0.4035197528171799,반도체와반도체장비,30853,5510825400,1394696883800,2
007390,네이처셀,3.96,11.14,0.29703342518540743,생물공학,638213,13813277300,1386896711800,2
018290,브이티,6.61,7.58,0.20876617568198658,화장품,2354431,87260351450,1320946458300,3
067630,HLB생명과학,2.29,8.11,0.43057815701415225,제약,568810,5959252140,1300499943270,1
112040,위메이드,3.72,-6.19,-0.7804276083908318,게임엔터테인먼트,158524,5802354300,1261186143450,2
253450,스튜디오드래곤,2.79,-4.99,-0.42750113823164276,방송과엔터테인먼트,131338,5448464650,1257948141300,2
078600,대주전자재료,4.14,1.25,-0.37156472736489815,전자장비와기기,230156,18467331000,1253928033000,2
204270,제이앤티씨,5.75,22.97,0.5516296913798544,핸드셋,503686,10710530500,1226387479200,3
035760,CJ ENM,3.19,-3.33,-0.5066384706886148,방송과엔터테인먼트,40001,2204802900,1208296385400,2
005290,동진쎄미켐,3.35,12.99,0.427454335681263,반도체와반도체장비,702879,16170757700,1185104086700,2
240810,원익IPS,2.55,12.44,0.42795606878105397,반도체와반도체장비,233310,5604527300,1175559428950,2
115450,HLB테라퓨틱스,3.86,40.88,1.9452763498633938,제약,1260301,17485993680,1132377253290,2
067160,SOOP,2.42,-9.0,-0.7481011265435167,양방향미디어와서비스,33297,3109115200,1069013331000,1
195940,HK이노엔,2.11,9.02,0.24071805231736734,제약,197137,7337650450,1060954417950,1
031980,피에스케이홀딩스,5.92,67.74,2.7461448170627354,반도체와반도체장비,730644,34552884800,1009120086000,3
137400,피엔티,2.91,1.39,-0.17714278959875118,전기제품,183401,7340613300,952097748600,2
140410,메지온,3.8,9.42,0.34845541449572365,식품,59489,1867216450,939350614950,2
039200,오스코텍,2.68,11.98,0.32788418071880343,생물공학,120935,2936574250,929418526800,2
232140,와이씨,5.19,35.26,1.3471103542101739,반도체와반도체장비,1348146,15180039070,922189734000,3
086900,메디톡스,4.77,5.72,0.17412062484657184,생물공학,28362,3563621300,917421072900,3
