Code,Name,Volatility,TotalReturn,Sector,Volume,Amount,Marcap,Risk
196170,알테오젠,5.31,-15.58,생물공학,577722,181864931500,16528836680000,3
247540,에코프로비엠,3.71,-35.43,전기제품,565004,67264136800,11775281817600,2
028300,HLB,4.57,-2.45,건강관리장비와용품,947225,75119906300,10458439666800,3
086520,에코프로,3.51,-26.88,화학,1359284,87465808200,8693933602000,2
277810,레인보우로보틱스,5.51,67.64,기계,822309,192798824000,4432867553000,3
141080,리가켐바이오,4.58,-1.62,제약,791021,95822011200,4433511931800,3
000250,삼천당제약,5.76,15.7,제약,376306,60908911800,3746158278400,3
145020,휴젤,3.76,9.09,생물공학,45285,12041832000,3327464712000,2
214150,클래시스,3.66,-15.44,건강관리장비와용품,100701,5116722800,3327687477200,2
348370,엔켐,5.06,-30.45,전기제품,130609,19160250700,3122202277500,3
058470,리노공업,3.04,8.55,반도체와반도체장비,62664,12767941800,3109443480000,2
065350,신성델타테크,6.33,119.25,가정용기기와용품,386986,41279473200,2863827381600,3
214450,파마리서치,3.49,16.94,건강관리장비와용품,76831,19245175000,2616890400000,2
035900,JYP Ent.,3.22,39.84,방송과엔터테인먼트,322660,23174556000,2547679676400,2
403870,HPSP,3.94,-4.89,반도체와반도체장비,642358,18359503900,2409073555200,2
068760,셀트리온제약,3.13,-13.04,제약,95281,5437632600,2379725176400,2
087010,펩트론,8.19,36.89,생물공학,397582,39899843500,2329735000000,3
950160,코오롱티슈진,5.29,86.97,생물공학,406987,11640694600,2255569800750,3
039030,이오테크닉스,4.9,3.65,반도체와반도체장비,178826,30228611300,2114034780000,3
257720,실리콘투,5.45,-22.76,인터넷과카탈로그소매,803179,26792688750,2011860383700,3
328130,루닛,6.58,65.69,건강관리기술,545741,37240814700,1953645750000,3
263750,펄어비스,3.21,-26.36,게임엔터테인먼트,124071,3530055100,1831063867500,2
237690,에스티팜,3.39,-16.21,제약,163392,14698236100,1789576454400,2
089030,테크윙,5.11,20.74,반도체와반도체장비,994691,46558320300,1766827408500,3
140860,파크시스템스,3.57,29.5,전자장비와기기,18297,4313814500,1659549537500,2
214370,케어젠,4.14,62.44,건강관리업체및서비스,225365,6917749300,1619507250000,2
041510,에스엠,2.87,1.93,방송과엔터테인먼트,203477,13990447800,1604394174900,2
095340,ISC,4.35,21.34,반도체와반도체장비,188544,13710305900,1570701997800,2
036930,주성엔지니어링,3.76,22.84,반도체와반도체장비,486827,15860078450,1566944841150,2
298380,에이비엘바이오,4.57,-14.1,생물공학,873341,26779103450,1453286454200,3
310210,보로노이,5.56,-26.78,제약,429952,34279970000,1450170768000,3
