Code,Name,Volatility,TotalReturn,AvgReturn,Sector,Volume,Amount,Marcap
196170,알테오젠,5.37,-13.69,-0.06085914689226022,생물공학,739646,229685175000,16982046718000
247540,에코프로비엠,3.69,-41.45,-0.818479692444884,전기제품,910881,102475642000,11051551872000
028300,HLB,4.65,-7.68,-0.09308480416876992,건강관리장비와용품,982169,73977367000,9946028678100
086520,에코프로,3.45,-34.13,-0.6261036530358282,화학,3045565,184977567300,8094811072000
277810,레인보우로보틱스,5.54,65.13,0.959508400077216,기계,5158783,1156797450000,4520166914000
141080,리가켐바이오,4.63,4.88,0.25619413933332075,제약,1050544,120303684300,4323680917800
000250,삼천당제약,5.9,18.17,0.3358217395238489,제약,648153,101991980200,3645291148800
214150,클래시스,3.72,-10.15,-0.15483843375253434,건강관리장비와용품,143341,7472430900,3419395399800
145020,휴젤,3.79,5.53,0.12431685847038425,생물공학,64399,16991795000,3365276811000
058470,리노공업,3.07,8.18,0.1560555992781014,반도체와반도체장비,143307,29441745800,3185655330000
348370,엔켐,5.09,-32.21,-0.5186628397008098,전기제품,227422,31415285600,2919544117500
065350,신성델타테크,6.23,113.15,1.4081146347978497,가정용기기와용품,731922,77191653600,2806111090800
214450,파마리서치,3.51,25.24,0.38353438288915914,건강관리장비와용품,151304,38725280000,2737750800000
087010,펩트론,8.87,69.67,1.6347400891705022,생물공학,650025,66609685000,2411275725000
035900,JYP Ent.,3.14,30.89,0.5532361269940704,방송과엔터테인먼트,383392,26161612900,2409102957600
403870,HPSP,3.95,-9.81,-0.1557930513121502,반도체와반도체장비,1206565,33378726100,2334180076800
068760,셀트리온제약,3.16,-15.02,-0.24652822695202212,제약,112262,6238684500,2304838719800
257720,실리콘투,5.55,-17.15,-0.23787623260547058,인터넷과카탈로그소매,1288604,44068882300,2103170234700
039030,이오테크닉스,4.84,-6.48,-0.027111187488332463,반도체와반도체장비,369783,58251843300,1990839280000
950160,코오롱티슈진,5.29,78.7,1.1171427722284115,생물공학,405936,10232196750,1986660250000
328130,루닛,6.68,61.12,0.9654747628909722,건강관리기술,846877,55288717900,1918914270000
237690,에스티팜,3.42,-14.88,-0.20597337568309715,제약,278061,24632007500,1843989252000
263750,펄어비스,3.26,-26.57,-0.4357040770544961,게임엔터테인먼트,256665,7301805450,1837488653000
214370,케어젠,4.03,73.5,1.0001010444975864,건강관리업체및서비스,631026,19934102700,1705451250000
041510,에스엠,2.88,8.04,0.16727939664276123,방송과엔터테인먼트,101803,7375300100,1695473320200
140860,파크시스템스,3.59,20.17,0.3426860315303116,전자장비와기기,25502,5806617000,1586179979000
089030,테크윙,5.12,7.65,0.20447553256489429,반도체와반도체장비,1470127,60596695900,1576323819000
178320,서진시스템,3.28,-6.83,-0.0287754410698565,전기제품,2134026,61309132700,1572130314300
310210,보로노이,5.57,-18.36,-0.11423148552308914,제약,311047,25746154400,1567652956800
095340,ISC,4.19,16.01,0.3443448169170123,반도체와반도체장비,398324,28950295100,1504991118000
298380,에이비엘바이오,4.64,-8.11,0.04887331845174445,생물공학,678046,20680176300,1503982493300
036930,주성엔지니어링,3.74,15.29,0.2771232206929683,반도체와반도체장비,634337,19623479600,1479498447300
018290,브이티,5.92,21.4,0.3750080324527382,화장품,1081384,42324827650,1401491974050
007390,네이처셀,8.55,116.37,1.5950925485302174,생물공학,830536,17692042250,1386896711800
293490,카카오게임즈,3.79,-6.52,-0.061736871527184954,게임엔터테인먼트,280361,4669806060,1378374882560
357780,솔브레인,2.42,-20.7,-0.42491947499206,반도체와반도체장비,20315,3446882900,1326245503000
253450,스튜디오드래곤,2.79,11.59,0.225413408893468,방송과엔터테인먼트,79103,3368583950,1272977390300
067630,HLB생명과학,4.84,-0.86,0.0583675124737599,제약,582470,6002472820,1263934808970
096530,씨젠,2.44,-3.23,-0.025292661639502213,생명과학도구및서비스,2269992,56566442050,1253423856000
