Code,Name,Volatility,TotalReturn,Sector,Volume,Amount,Marcap,Risk
005930,삼성전자,2.29,-6.41,반도체와반도체장비,12526032,697453460300,331322931525000,2
000660,SK하이닉스,3.09,9.41,반도체와반도체장비,4804549,1000732044500,149604486007500,2
373220,LG에너지솔루션,3.03,-15.09,전기제품,220083,77062558500,81783000000000,2
207940,삼성바이오로직스,2.02,-1.86,제약,32703,32980271000,71458696000000,2
005380,현대차,2.17,-9.26,자동차,1656577,370014938000,47223351070500,2
000270,기아,2.15,4.55,자동차,1623325,171093057500,42073764465600,2
068270,셀트리온,2.11,-1.35,제약,278272,51550877700,40289779622400,2
005935,삼성전자우,2.17,-4.24,반도체와반도체장비,646555,29768656900,38099654210000,2
105560,KB금융,2.68,-3.5,은행,918985,80421025900,34669854066300,2
035420,NAVER,2.06,16.85,양방향미디어와서비스,315927,64087342500,32241931128000,2
329180,HD현대중공업,3.76,71.7,조선,227268,70178302500,27874758424000,3
055550,신한지주,2.35,-13.04,은행,708333,35201221600,25222610782500,2
012330,현대모비스,2.03,14.03,자동차부품,158358,40487048500,23853241611000,2
005490,POSCO홀딩스,2.74,-28.34,철강,240764,62792584000,21647586774000,2
028260,삼성물산,2.17,-9.61,복합기업,142160,17263719000,21582990589800,2
138040,메리츠금융지주,1.66,3.05,증권,198411,20638502800,19930251913000,2
096770,SK이노베이션,3.22,6.67,석유와가스,331098,41847251500,19105899164000,2
032830,삼성생명,2.55,-3.38,생명보험,189139,17771790600,18880000000000,2
010130,고려아연,9.27,11.08,비철금속,29506,26169834000,18239592323000,3
051910,LG화학,2.75,-30.61,화학,147847,36448847000,17365716378000,2
012450,한화에어로스페이스,3.8,6.17,우주항공과국방,199034,75708826500,17298050599500,3
009540,HD한국조선해양,2.75,30.13,조선,176707,42238792000,17091707514000,2
086790,하나금융지주,2.18,-3.77,은행,595619,34750949700,16889763744000,2
000810,삼성화재,2.76,5.95,손해보험,49539,17670108000,16865441972000,2
011200,HMM,2.22,12.45,해운사,881140,16736312090,16722129634080,2
035720,카카오,2.93,-2.54,양방향미디어와서비스,1757423,64408703000,16215850376350,2
006400,삼성SDI,3.17,-37.13,전기제품,323707,75828410500,16090900020000,2
259960,크래프톤,2.65,1.21,게임엔터테인먼트,98852,33091607500,16096642464000,2
267260,HD현대일렉트릭,3.32,29.22,전기장비,161680,64484197000,14346759730000,3
066570,LG전자,1.71,-12.89,전자제품,237935,20430337900,14057347222600,2
042660,한화오션,4.85,44.89,조선,3629774,162689080050,13819244069400,3
033780,KT&G,2.58,6.95,담배,235895,25699125300,13664512173000,2
015760,한국전력,2.1,2.77,전기유틸리티,836923,16996860300,13128165374650,2
034020,두산에너빌리티,3.28,11.6,기계,19563349,389264245720,12875279034600,3
402340,SK스퀘어,3.64,12.31,복합기업,236317,22465242400,12841671188000,3
017670,SK텔레콤,1.3,-0.54,무선통신서비스,527193,28988031800,11834931920300,1
024110,기업은행,1.28,4.05,은행,603244,8798283730,11682288980850,1
003550,LG,1.62,-5.5,복합기업,108139,8005501500,11640273482000,1
003670,포스코퓨처엠,3.66,-38.46,화학,313055,46885381700,11619483000000,3
316140,우리금융지주,1.71,-2.45,은행,1284275,19854475410,11510168265500,2
030200,KT,2.2,9.7,다각화된통신서비스,306461,13524380700,11101555224250,2
042700,한미반도체,4.32,2.92,반도체와반도체장비,1024596,118160420300,10898088415200,3
000100,유한양행,3.19,-15.81,제약,2493413,338744105200,10828223640000,2
034730,SK,2.03,-3.43,석유와가스,121455,17488657500,10628896259800,2
010140,삼성중공업,2.66,22.29,조선,5904289,70396163000,10595200000000,2
323410,카카오뱅크,2.25,-3.39,은행,504183,10764454600,10207128831800,2
018260,삼성에스디에스,2.16,-12.59,IT서비스,89379,11382844100,9904358400000,2
086280,현대글로비스,2.62,15.34,항공화물운송과물류,180873,23749489700,9810000000000,2
009150,삼성전기,2.53,0.0,전자장비와기기,207111,26879730600,9680303001600,2
326030,SK바이오팜,2.98,-2.04,제약,150973,17457235400,9021686400000,2
352820,하이브,2.6,21.52,방송과엔터테인먼트,218126,45490542500,8913548758000,2
003490,대한항공,1.79,5.99,항공사,639680,14712305600,8487486236050,2
047050,포스코인터내셔널,3.22,-22.0,무역회사와판매업체,556997,24031629800,7661437417400,2
443060,HD현대마린솔루션,3.47,55.68,조선,84783,14149639600,7507605000000,3
005830,DB손해보험,2.52,-10.24,손해보험,76589,7789836400,7200360000000,2
010950,S-Oil,2.11,2.27,석유와가스,217796,13637835100,7081457616800,2
090430,아모레퍼시픽,2.63,-7.26,화장품,197420,22944149600,6773461492200,2
267250,HD현대,2.08,5.38,석유와가스,122563,10137626900,6516929512500,2
011790,SKC,5.21,-1.49,화학,1442294,231571082200,6017272552200,3
064350,현대로템,3.41,-10.73,기계,754360,41141704800,5991911885700,3
005387,현대차2우B,1.72,-7.42,자동차,164293,27056489500,5885995758600,2
003230,삼양식품,3.32,37.61,식품,37477,27843137000,5649761250000,3
010620,HD현대미포,3.02,40.61,조선,217951,30031889400,5539976066300,2
010120,LS ELECTRIC,3.86,14.37,전기장비,288664,52392764500,5412000000000,3
450080,에코프로머티,4.38,-34.61,전기제품,630037,47487689800,5348948165600,3
021240,코웨이,2.36,7.53,가정용기기와용품,131095,9162326400,5143833444300,2
047810,한국항공우주,2.68,0.0,우주항공과국방,695670,36859135700,5136938138900,2
180640,한진칼,2.52,-10.69,항공사,51288,3948797600,5134019255100,2
161390,한국타이어앤테크놀로지,2.28,4.79,자동차부품,202905,8115475850,4992165280700,2
088980,맥쿼리인프라,0.96,-10.96,운송인프라,561937,5849453080,4985577947130,1
079550,LIG넥스원,4.02,-8.66,우주항공과국방,292288,65686482500,4884000000000,3
000150,두산,4.21,59.92,복합기업,76729,22427383500,4841483655000,3
006800,미래에셋증권,2.61,-8.2,증권,573864,4644245400,4787888217440,2
051900,LG생활건강,2.02,-13.42,화장품,35818,10983872500,4779168282000,2
034220,LG디스플레이,1.95,-10.39,디스플레이패널,448610,4208781860,4695000000000,2
029780,삼성카드,1.54,-2.08,카드,31933,1271824250,4634355640000,1
032640,LG유플러스,1.41,7.6,무선통신서비스,478336,5008105010,4575687063280,1
251270,넷마블,2.72,-11.45,게임엔터테인먼트,48528,2555882800,4521154205200,2
