Code,Name,Volatility,TotalReturn,AvgReturn,Sector,Volume,Amount,Marcap
005930,삼성전자,2.27,-9.78,-0.1655549280707798,반도체와반도체장비,19318046,1047542312930,324756170720000
000660,SK하이닉스,2.92,2.19,0.014530652062681455,반도체와반도체장비,4233446,760554633376,132423630193500
373220,LG에너지솔루션,3.08,-18.44,-0.22754373077226983,전기제품,237676,84675367000,83304000000000
207940,삼성바이오로직스,1.98,-6.37,-0.08548781665270072,제약,44072,41416454000,66903560000000
005380,현대차,2.08,-13.41,-0.22536668387548167,자동차,456107,97389499500,44605648683000
000270,기아,2.15,1.1,0.027485746053304762,자동차,1015616,101791854400,40045634042400
068270,셀트리온,2.17,-0.94,-0.01258352439904169,제약,360452,65252178000,39269510418600
005935,삼성전자우,2.2,-9.62,-0.17781925973367643,반도체와반도체장비,884854,39899720550,37112190170000
105560,KB금융,2.74,-6.26,-0.031081388963475513,은행,846012,71575951000,32977681847400
035420,NAVER,2.07,20.64,0.3353481292844324,양방향미디어와서비스,798480,159489539900,31766620104000
329180,HD현대중공업,3.83,58.88,0.8518825102739284,조선,486018,142453445500,25344724618000
055550,신한지주,2.42,-13.0,-0.20572147034162977,은행,1054730,51336671300,24266064665000
012330,현대모비스,2.07,13.59,0.2410859068470139,자동차부품,110801,27377909500,22923290671000
005490,POSCO홀딩스,2.79,-31.12,-0.5938134053979507,철강,350244,90655610500,21399713643000
028260,삼성물산,2.17,-14.12,-0.23812738404690534,복합기업,156137,18008841350,20551842769200
138040,메리츠금융지주,1.67,6.87,0.11942124133773396,증권,284779,30194763700,20178188061200
010130,고려아연,9.45,22.16,0.7670791127560056,비철금속,36677,35127982000,19626712284000
032830,삼성생명,2.59,-3.32,-0.0012071670404138369,생명보험,280120,26013524600,18640000000000
096770,SK이노베이션,3.29,0.51,0.062174493294930105,석유와가스,354105,41390857900,17973138344000
051910,LG화학,2.8,-29.78,-0.5396296945726421,화학,363270,92208229000,17895158950500
006400,삼성SDI,3.21,-33.42,-0.6093563311641641,전기제품,444831,108620652500,16984838910000
000810,삼성화재,2.83,8.85,0.13487083783139683,손해보험,74387,26711029500,16889129390500
035720,카카오,2.93,2.84,0.09998432266513052,양방향미디어와서비스,1971546,75918109500,16877590452050
012450,한화에어로스페이스,3.88,-0.69,0.12320991682695907,우주항공과국방,260600,94282069500,16500380282000
086790,하나금융지주,2.22,-7.01,-0.1048139853544859,은행,530060,30404101400,16372730160000
011200,HMM,2.25,7.68,0.15032069540985363,해운사,1879525,34375750710,16184695541520
259960,크래프톤,2.59,2.76,0.11481691949923582,게임엔터테인먼트,154502,51079275000,16048735790000
009540,HD한국조선해양,2.81,20.54,0.3590207795157624,조선,385652,87076348500,15782404868000
267260,HD현대일렉트릭,3.45,24.61,0.3172704041649849,전기장비,260275,103666169750,14418854000000
066570,LG전자,1.87,-13.16,-0.3117017861519571,전자제품,252319,21483872600,13926428971400
033780,KT&G,3.11,2.13,0.07893426070643082,담배,204126,21576715900,13250815932900
015760,한국전력,2.13,0.25,0.02413759235801578,전기유틸리티,1308102,26052513230,12839281540000
017670,SK텔레콤,1.37,3.66,0.012148077140879213,무선통신서비스,387268,21942428400,12178596005100
034020,두산에너빌리티,3.21,-0.93,0.04429296361846067,기계,4544088,82569196560,11658212857200
003550,LG,1.66,-5.61,-0.0993281579398079,복합기업,121137,8959762600,11656003581300
042660,한화오션,4.71,21.07,0.41367941133215785,조선,4003943,149836746300,11444540265900
024110,기업은행,1.31,1.56,0.03541280465450272,은행,800016,11512268230,11443061220150
402340,SK스퀘어,3.52,4.46,0.12928708315903384,복합기업,297921,24971759500,11372896624000
003670,포스코퓨처엠,3.71,-43.4,-0.8436491310175973,화학,616265,89947213000,11332869086000
316140,우리금융지주,1.75,-3.72,-0.06261745485122815,은행,1617557,24766145490,11331946305260
030200,KT,2.22,10.83,0.15864126504069115,다각화된통신서비스,255853,11390593686,11214964982500
323410,카카오뱅크,2.32,0.7,0.03824112176078527,은행,566429,12223122250,10230977263650
086280,현대글로비스,2.63,18.19,0.2955124025755386,항공화물운송과물류,261916,34900996100,10087500000000
010140,삼성중공업,2.72,15.72,0.254255215721021,조선,4752240,54587574190,10040800000000
018260,삼성에스디에스,2.14,-13.63,-0.23126339893520997,IT서비스,137043,17467627200,9904358400000
034730,SK,1.94,-10.36,-0.19310986212044245,석유와가스,75013,10129348100,9787864905000
