단어,점수
가까스로,0.0
가까이하다,1.0
가꾸러뜨리다,-1.0
가꾸러트리다,-1.0
가난,-2.0
가난뱅이,-2.0
가난살이,-2.0
가난살이하다,-2.0
가난설음,-2.0
가난에,-2.0
가난하게,-2.0
가난하고,-2.0
가난하다,-2.0
가난하여,-2.0
가난한,-2.0
가난히,-2.0
가년스럽다,-2.0
가념하다,-1.0
가녕스럽다,-2.0
가능하다,2.0
가닐가닐하다,-1.0
가다듬어,1.0
가당찮다,-2.0
가당찮이,-2.0
가당히,1.0
가두거나,-1.0
가드올려,-1.0
가뜬하게,1.0
가라앉다,0.0
가래,-1.0
가래가,-1.0
가량맞고,-1.0
가려운,-1.0
가련하게,-1.0
가련한,-1.0
가렵고,-1.0
가로막아서,-1.0
가로채서,-1.0
가로채어,-1.0
가르치며,1.0
가르침,1.0
가마득하다,-1.0
가볍게,-1.0
가볍고,1.0
가분가분,1.0
가분히,1.0
가뿐가뿐,1.0
가뿐가뿐하다,1.0
가뿐가뿐히,1.0
가뿐하게,1.0
가뿐하다,1.0
가뿐한,1.0
가뿐히,1.0
가쁘게,-1.0
가쁘고,-1.0
가쁜,-1.0
가살스럽다,-1.0
가소롭게,-1.0
가소롭다,-1.0
가슴앓이,-2.0
가슴앓이하다,-2.0
가엽다,-1.0
가엾게,-1.0
가엾고,-1.0
가엾다,-1.0
가위눌리다,-1.0
가증맞다,-1.0
가증스럽다,-1.0
가지런하다,1.0
가짜,-2.0
가치,1.0
가치가,1.0
가치없는,-2.0
가치있는,1.0
가치작거리는,-1.0
가탈스럽다,-1.0
가혹하게,-2.0
각별나다,1.0
각별하다,1.0
간드러진,2.0
간사스럽게,-1.0
간사하고,-1.0
간사하다,-1.0
간사한,-1.0
간섭받고,-1.0
간섭하거나,-1.0
간섭하고,-1.0
간섭하다,-1.0
간섭하여,-1.0
간절하다,2.0
간지러워서,-1.0
간지럽게,-1.0
간지럽고,-1.0
간직하다,1.0
간질,-1.0
간질간질하다,-1.0
간질간질한,-1.0
간편하거나,2.0
간편하다,2.0
갈강병균이,-1.0
갈라서다,-1.0
갈색굳음병,-1.0
갈팡질팡,-1.0
갈팡질팡하다,-1.0
갈팡질팡하며,-1.0
감각적이다,1.0
감감히,-1.0
감개무량하다,2.0
감격,2.0
감격성,2.0
감격스럽다,2.0
감격스레,2.0
감격이,2.0
감격적,2.0
감격하다,2.0
감격하여,2.0
감금하여,-2.0
감기,-1.0
감기가,-1.0
감기나,-1.0
감기로,-1.0
감당하다,1.0
감동,2.0
감동시킬,1.0
감동이,2.0
감동이나,2.0
감동하는,2.0
감동하다,2.0
감동하여,2.0
감동함,2.0
감명되다,2.0
감명적,2.0
감명하다,2.0
감모,1.0
감미롭다,2.0
감병,-1.0
감복하다,2.0
감복하여,2.0
감사,2.0
감사하는,2.0
감사하다,2.0
감싸고,1.0
감옥,-1.0
감옥에,-1.0
감탄,2.0
감탄스러울,2.0
감탄스럽다,2.0
감탄적으로,2.0
감탄하다,2.0
감탄할,2.0
갑갑궁금하다,-1.0
갑갑하다,-1.0
갑갑한,-1.0
갑갑할,-1.0
갑분띠,-1.0
갑분싸,-1.0
값진,2.0
강간죄,-2.0
강개무량,-2.0
강개무량하다,-2.0
강구하다,0.0
강도가,-1.0
강등하여,-1.0
강렬하게,1.0
강박,-1.0
강박하여,-1.0
강세,1.0
강인하다,1.0
강인한,2.0
강제로,-1.0
강제적으로,-2.0
강추,2.0
강탈,-2.0
강탈하다,-2.0
강퇴,-1.0
강하게,1.0
강하고,1.0
강하다,1.0
강화하다,1.0
갖추다,1.0
같잖다,-1.0
같잖아서,-1.0
같잖은,-1.0
개선,2.0
개선하고,1.0
개선하다,2.0
개선함,2.0
개성,1.0
개성있는,1.0
개성있다,1.0
개운하게,2.0
개운하고,2.0
개운하다,2.0
개으름을,-1.0
개이득,2.0
개짓하다,-2.0
개회하다,0.0
갠소,1.0
갸륵한,1.0
갸름하다,1.0
거꾸러뜨리다,-1.0
거드럭거드럭,-1.0
거드럭거리다,-1.0
거들먹거들먹,-1.0
거들먹거들먹하다,-1.0
거들먹거리다,-1.0
거들먹대다,-1.0
거들먹이다,-1.0
거뜬하다,2.0
거룩한,2.0
거리끼어,-1.0
거만스럽게,-2.0
거만을,-2.0
거만하게,-2.0
거만하고,-2.0
거만하다,-2.0
거만한,-1.0
거부감,-2.0
거부하거나,-2.0
거부하다,-1.0
거북스럽게,-2.0
거북하거나,-2.0
거북하게,-2.0
거북하고,-2.0
거북하다,-2.0
거북한,-2.0
거북할,-2.0
거세고,-1.0
거슬려,-1.0
거슬리거나,-1.0
