Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector
196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,기술성장기업부,301000,2,-500,-0.17,305000,311500,297000,1730717,525250918500,16048967228000,53318828,KSQ,생물공학
247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,108000,2,-1900,-1.73,109900,112300,106600,652732,71118546700,10562545152000,97801344,KSQ,전기제품
028300,KR7028300002,HLB,KOSDAQ,중견기업부,70300,1,4300,6.52,67000,71300,65500,1429918,98751716800,9236536539900,131387433,KSQ,건강관리장비와용품
086520,KR7086520004,에코프로,KOSDAQ,우량기업부,57000,2,-1700,-2.9,58700,59600,56400,1384361,79705022900,7588885380000,133138340,KSQ,화학
141080,KR7141080002,리가켐바이오,KOSDAQ GLOBAL,기술성장기업부,103700,2,-4800,-4.42,107700,110300,102300,947826,99501092400,3796492050600,36610338,KSQ,제약
000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,147000,2,-6800,-4.42,152000,158600,146300,770503,117461892800,3448248384000,23457472,KSQ,제약
145020,KR7145020004,휴젤,KOSDAQ GLOBAL,우량기업부,266500,2,-10500,-3.79,277500,278000,266500,49255,13349006500,3358974794500,12604033,KSQ,생물공학
065350,KR7065350001,신성델타테크,KOSDAQ,우량기업부,117100,2,-4600,-3.78,126000,128500,114100,1152223,140423837000,3218370310800,27483948,KSQ,가정용기기와용품
214150,KR7214150005,클래시스,KOSDAQ GLOBAL,우량기업부,48350,1,50,0.1,47700,48350,46700,159508,7580084700,3167198612650,65505659,KSQ,건강관리장비와용품
058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,192000,2,-2900,-1.49,190800,196000,190300,76072,14598975700,2926535040000,15242370,KSQ,반도체와반도체장비
277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,141200,2,-2500,-1.74,144500,146500,138800,144003,20360098300,2739259949600,19399858,KSQ,기계
214450,KR7214450009,파마리서치,KOSDAQ GLOBAL,우량기업부,255500,2,-7000,-2.67,262500,267500,252000,112048,28905669000,2685202800000,10509600,KSQ,건강관리장비와용품
348370,KR7348370008,엔켐,KOSDAQ,벤처기업부,120500,2,-4300,-3.45,124000,126100,117500,317114,38344454600,2543782112500,21110225,KSQ,전기제품
035900,KR7035900000,JYP Ent.,KOSDAQ GLOBAL,우량기업부,68600,2,-1800,-2.56,70100,70300,67500,327433,22518286600,2437528951200,35532492,KSQ,방송과엔터테인먼트
068760,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,56100,2,-2800,-4.75,58100,59400,55900,193371,10979344500,2333961230700,41603587,KSQ,제약
087010,KR7087010005,펩트론,KOSDAQ,기술성장기업부,99000,2,-100,-0.1,101000,106000,95800,1111920,111625686800,2306437650000,23297350,KSQ,생물공학
403870,KR7403870009,HPSP,KOSDAQ GLOBAL,중견기업부,25600,2,-500,-1.92,26000,26700,25400,541848,14018712600,2130303385600,83214976,KSQ,반도체와반도체장비
