Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector
005930,KR7005930003,삼성전자,KOSPI,,53700,1,100,0.19,53500,54100,53200,10747196,576022861800,320577322935000,5969782550,STK,반도체와반도체장비
000660,KR7000660001,SK하이닉스,KOSPI,,174500,1,4400,2.59,170100,176000,170000,2643523,459886497400,127036412692500,728002365,STK,반도체와반도체장비
373220,KR7373220003,LG에너지솔루션,KOSPI,,348000,1,3500,1.02,341000,350500,340500,200696,69426924500,81432000000000,234000000,STK,전기제품
207940,KR7207940008,삼성바이오로직스,KOSPI,,934000,2,-3000,-0.32,933000,940000,920000,35257,32796380000,66476516000000,71174000,STK,제약
005380,KR7005380001,현대차,KOSPI,,215000,2,-2500,-1.15,217000,217500,213500,391681,84299329000,45024481065000,209416191,STK,자동차
000270,KR7000270009,기아,KOSPI,,100900,2,-2000,-1.94,101100,101800,100000,607220,61270425500,40125168568800,397672632,STK,자동차
068270,KR7068270008,셀트리온,KOSPI,,180400,2,-2500,-1.37,183200,185800,176800,571954,103177475200,39160971141600,217078554,STK,제약
005935,KR7005931001,삼성전자우,KOSPI,,44800,1,150,0.34,44500,44900,44300,570379,25436854550,36865324160000,822886700,STK,반도체와반도체장비
105560,KR7105560007,KB금융,KOSPI,,85000,2,-500,-0.58,84500,85500,84300,790972,67084300300,33449915955000,393528423,STK,은행
035420,KR7035420009,NAVER,KOSPI,,197700,2,-2200,-1.1,198700,200500,195500,689235,136433516220,31322996481600,158437008,STK,양방향미디어와서비스
329180,KR7329180004,HD현대중공업,KOSPI,,289500,2,-8500,-2.85,297000,298500,284000,386799,112456178000,25699817082000,88773116,STK,조선
055550,KR7055550008,신한지주,KOSPI,,48350,2,-550,-1.12,48450,48900,48000,898979,43514903600,24341581463750,503445325,STK,은행
012330,KR7012330007,현대모비스,KOSPI,,236500,2,-5500,-2.27,240500,243000,234500,186396,44244088000,21993339731000,92995094,STK,자동차부품
010130,KR7010130003,고려아연,KOSPI,,1027000,2,-192000,-15.75,1220000,1228000,1027000,61976,66591090000,21262271641000,20703283,STK,비철금속
005490,KR7005490008,POSCO홀딩스,KOSPI,,253500,2,-2500,-0.98,253500,259500,250000,353337,89598994000,20945279569500,82624377,STK,철강
028260,KR7028260008,삼성물산,KOSPI,,115800,2,-1800,-1.53,116100,116900,115000,142614,16505379000,20587399590600,177784107,STK,복합기업
032830,KR7032830002,삼성생명,KOSPI,,97200,2,-3300,-3.28,97400,98300,96300,301311,29250542700,19440000000000,200000000,STK,생명보험
138040,KR7138040001,메리츠금융지주,KOSPI,,101500,1,2500,2.53,98600,101800,98600,347314,34951578000,19358091571000,190720114,STK,증권
051910,KR7051910008,LG화학,KOSPI,,247000,2,-1000,-0.4,244000,250000,242000,229662,56454961500,17436308721000,70592343,STK,화학
000810,KR7000810002,삼성화재,KOSPI,,365000,2,-5000,-1.35,364500,369000,361000,38926,14203815500,17291815505000,47374837,STK,손해보험
035720,KR7035720002,카카오,KOSPI,,38850,1,300,0.78,38550,39400,38350,1236769,48007635200,17232441236850,443563481,STK,양방향미디어와서비스
006400,KR7006400006,삼성SDI,KOSPI,,248000,1,1000,0.4,245500,250000,242500,213784,52682388000,17053603440000,68764530,STK,전기제품
096770,KR7096770003,SK이노베이션,KOSPI,,111000,2,-1500,-1.33,111700,113700,110000,138924,15473278100,16764860136000,151034776,STK,석유와가스
086790,KR7086790003,하나금융지주,KOSPI,,57600,2,-700,-1.2,57500,58000,57100,779839,44857815500,16545074688000,287240880,STK,은행
009540,KR7009540006,HD한국조선해양,KOSPI,,231000,2,-4500,-1.91,233500,235500,227500,272043,62737213145,16348589796000,70773116,STK,조선
011200,KR7011200003,HMM,KOSPI,,17530,2,-490,-2.72,17840,17900,17500,886708,15666969060,15444622364880,881039496,STK,해운사
259960,KR7259960003,크래프톤,KOSPI,,310000,1,3000,0.98,309500,315000,305500,89731,27817455000,14851068940000,47906674,STK,게임엔터테인먼트
012450,KR7012450003,한화에어로스페이스,KOSPI,,319000,2,-4500,-1.39,321500,327500,318000,196212,62966304000,14540390359000,45581161,STK,우주항공과국방
267260,KR7267260008,HD현대일렉트릭,KOSPI,,391500,1,500,0.13,387500,394500,382500,138317,53732375000,14112453352500,36047135,STK,전기장비
066570,KR7066570003,LG전자,KOSPI,,84500,2,-1200,-1.4,85000,85700,83700,292642,24723030400,13828240283000,163647814,STK,전자제품
033780,KR7033780008,KT&G,KOSPI,,107600,2,-1700,-1.56,108300,109100,107000,99689,10751430700,13489004677200,125362497,STK,담배
015760,KR7015760002,한국전력,KOSPI,,20000,2,-400,-1.96,20250,20350,19830,1841452,36820632200,12839281540000,641964077,STK,전기유틸리티
017670,KR7017670001,SK텔레콤,KOSPI,,56300,2,-400,-0.71,56300,56800,56100,219551,12375456800,12092679983900,214790053,STK,무선통신서비스
003550,KR7003550001,LG,KOSPI,,73400,2,-700,-0.94,73200,74000,72700,95957,7030698100,11545892886200,157300993,STK,복합기업
024110,KR7024110009,기업은행,KOSPI,,14450,2,-230,-1.57,14410,14500,14340,1114494,16072284070,11522803807050,797425869,STK,은행
316140,KR7316140003,우리금융지주,KOSPI,,15390,2,-220,-1.41,15440,15490,15340,1040100,16013708100,11428483200390,742591501,STK,은행
030200,KR7030200000,KT,KOSPI,,45000,2,-500,-1.1,45000,45400,44500,452178,20323715850,11340975825000,252021685,STK,다각화된통신서비스
042660,KR7042660001,한화오션,KOSPI,,36900,2,-850,-2.25,37650,38000,36350,3734023,138263366900,11306654238600,306413394,STK,조선
034020,KR7034020008,두산에너빌리티,KOSPI,,17620,2,-240,-1.34,18130,18180,17430,4586870,81473881360,11286687392520,640561146,STK,기계
003670,KR7003670007,포스코퓨처엠,KOSPI,,142400,2,-200,-0.14,141200,146200,139500,388913,55320910900,11030762528000,77463220,STK,화학
