Code,Name,Volatility,TotalReturn,AvgReturn,Sector,Volume,Amount,Marcap
459580,KODEX CD금리액티브(합성),0.01,0.29,0.014661294752285059,채권,247325,261881,91164
360750,TIGER 미국S&P500,1.0,2.3,0.1456051141860448,해외주식,7104463,153389,71734
357870,TIGER CD금리투자KIS(합성),0.01,0.28,0.01443816267989062,채권,448022,24861,63279
069500,KODEX 200,1.3,-3.59,-0.10163272952494476,국내 시장지수,4730366,150865,54815
133690,TIGER 미국나스닥100,1.4,4.54,0.3025606034968076,해외주식,499818,68969,44496
423160,KODEX KOFR금리액티브(합성),0.01,0.27,0.013307769828765359,채권,58366,6368,42976
488770,KODEX 머니마켓액티브,0.01,0.31,0.016023089066704577,기타,127554,12958,39776
449170,TIGER KOFR금리액티브(합성),0.01,0.26,0.013026184030019428,채권,184905,19899,35156
379800,KODEX 미국S&P500TR,0.99,2.37,0.1479843097544514,해외주식,6971002,138071,34802
381170,TIGER 미국테크TOP10 INDXX,1.51,9.67,0.5661406200302667,해외주식,2993359,75989,31875
273130,KODEX 종합채권(AA-이상)액티브,0.29,-0.4,-0.026375070985726334,채권,143386,16673,28271
381180,TIGER 미국필라델피아반도체나스닥,1.93,3.93,0.3440734041770249,해외주식,1005784,19511,26424
122630,KODEX 레버리지,2.63,-8.01,-0.2308198693057218,국내파생,20387684,280401,23110
278530,KODEX 200TR,1.32,-3.57,-0.09752413030058142,국내 시장지수,506541,5665,22502
455890,RISE 머니마켓액티브,0.02,0.37,0.01919201500338863,채권,908306,48618,21557
310970,TIGER MSCI Korea TR,1.4,-3.7,-0.10113190603627695,국내 시장지수,4419,59,20278
458730,TIGER 미국배당다우존스,0.72,-1.67,-0.093289599097931,해외주식,2204416,28402,19627
102110,TIGER 200,1.32,-3.66,-0.10511471666777186,국내 시장지수,1706118,54487,18719
481050,KODEX CD1년금리플러스액티브(합성),0.01,0.28,0.014422931114167481,채권,13001,13289,18025
453850,ACE 미국30년국채액티브(H),0.7,-6.38,-0.30568807103739604,채권,2165000,16906,17990
371460,TIGER 차이나전기차SOLACTIVE,1.65,-0.11,-0.027615533134976465,해외주식,1179058,11002,17286
379810,KODEX 미국나스닥100TR,1.41,4.59,0.30661801706409986,해외주식,2677093,55438,17266
233740,KODEX 코스닥150레버리지,3.96,-6.93,-0.04975943865045673,국내파생,26814863,179537,17143
360200,ACE 미국S&P500,1.0,2.34,0.14644190381403965,해외주식,1387785,30292,16409
214980,KODEX 단기채권PLUS,0.01,0.21,0.012179994587695475,채권,358621,40541,15997
385540,RISE 종합채권(A-이상)액티브,0.24,-0.39,-0.021173984970964677,채권,7770,840,13494
453540,TIGER 25-10 회사채(A+이상)액티브,0.02,0.23,0.012490454984557253,채권,130335,7053,13018
367380,ACE 미국나스닥100,1.41,4.58,0.3058299564741424,해외주식,959195,22742,12730
252670,KODEX 200선물인버스2X,2.63,7.23,0.2394388007717919,국내파생,106175893,277272,12215
477080,RISE CD금리액티브(합성),0.01,0.3,0.014620059840881883,채권,9020,926,11987
229200,KODEX 코스닥150,2.09,-2.79,-0.005625474436826728,국내 시장지수,4583921,51814,11699
476550,TIGER 미국30년국채커버드콜액티브(H),0.7,-6.06,-0.28519003520694974,채권,1256177,10572,11628
494900,TIGER 25-12 금융채(AA-이상),0.02,0.26,0.012917039028469968,채권,16632,838,10751
475630,TIGER CD1년금리액티브(합성),0.01,0.29,0.014711352696037405,기타,40641,41987,10426
148020,RISE 200,1.3,-3.59,-0.10233164418728732,국내 시장지수,986834,31713,10151
102780,KODEX 삼성그룹,1.41,-4.59,-0.16548365668608453,국내 업종/테마,142685,1137,9994
476810,KODEX 25-11 은행채(AA-이상)PLUS액티브,0.04,0.14,0.00964668703906768,채권,27557,286,9633
491080,KODEX 25-12 은행채(AAA)액티브,0.01,0.18,0.011374649173129248,채권,911,92,9577
368590,RISE 미국나스닥100,1.42,4.52,0.3022134178513075,해외주식,664959,15239,9318
305720,KODEX 2차전지산업,2.28,-13.78,-0.7014359355522037,국내 업종/테마,1424171,17045,9297
458760,TIGER 미국배당다우존스타겟커버드콜2호,0.65,-0.63,-0.04307057527558389,해외주식,975749,10651,9136
278540,KODEX MSCI Korea TR,1.3,-3.78,-0.09839111087231459,국내 시장지수,2394,25,8416
305540,TIGER 2차전지테마,2.25,-13.9,-0.7025720970402903,국내 업종/테마,463410,6799,8360
436140,SOL 종합채권(AA-이상)액티브,0.25,-0.31,-0.01868124597314169,채권,4989,562,8328
446720,SOL 미국배당다우존스,0.75,-1.45,-0.08484387279152794,해외주식,735186,8690,7737
379780,RISE 미국S&P500,0.99,2.3,0.1451457181316135,해외주식,632281,11908,7634
157450,TIGER 단기통안채,0.01,0.23,0.013063929099680904,채권,14379,1570,7500
356540,ACE 종합채권(AA-이상)KIS액티브,0.27,-0.72,-0.044810811905869885,채권,5109,542,7431
453870,TIGER 인도니프티50,0.68,1.66,0.1342481777420429,해외주식,260497,3587,7228
457480,ACE 테슬라밸류체인액티브,3.71,14.44,0.7632465729335147,해외주식,3164172,58491,7182
315930,KODEX Top5PlusTR,1.37,-3.12,-0.05939266187325265,국내 업종/테마,19660,399,7026
153130,KODEX 단기채권,0.02,0.27,0.013184413777765358,채권,13114,1468,6915
294400,KOSEF 200TR,1.29,-3.65,-0.11024619945681716,국내 시장지수,56852,2312,6847
451540,TIGER 종합채권(AA-이상)액티브,0.25,-0.34,-0.019353052684010774,채권,31808,1776,6479
329750,TIGER 미국달러단기채권액티브,0.49,5.06,0.2503025248958746,채권,1181492,15557,6442
458250,TIGER 미국30년국채스트립액티브(합성 H),1.15,-10.61,-0.5198604457670873,채권,177615,7035,6385
411060,ACE KRX금현물,0.79,7.48,0.38813143863081934,원자재,1116983,20459,6317
314250,KODEX 미국빅테크10(H),1.69,5.43,0.35590790843792286,해외주식,139548,6546,6054
486290,TIGER 미국나스닥100타겟데일리커버드콜,1.36,4.21,0.2847150191423148,해외주식,1473424,15329,5817
402970,ACE 미국배당다우존스,0.74,-1.65,-0.09175850640293026,해외주식,684042,8945,5812
329200,TIGER 리츠부동산인프라,1.31,-0.83,-0.07002566830900836,국내 업종/테마,662330,2690,5775
465580,ACE 미국빅테크TOP7 Plus,1.66,11.38,0.6403534892749467,해외주식,1186129,22316,5718
456610,TIGER 미국달러SOFR금리액티브(합성),0.47,4.87,0.2463769431310842,채권,52939,3157,5555
371160,TIGER 차이나항셍테크,1.75,3.99,0.2506205874056655,해외주식,597410,4316,5549
152100,PLUS 200,1.35,-3.71,-0.10611882181229496,국내 시장지수,117973,3822,5425
396500,TIGER Fn반도체TOP10,1.78,6.02,0.43581767866061105,국내 업종/테마,317389,2900,5402
196230,RISE 단기통안채,0.01,0.24,0.012525247547442442,채권,21566,2456,5296
114800,KODEX 인버스,1.37,3.67,0.11943232262538742,국내파생,12412486,59850,5228
390390,KODEX 미국반도체MV,1.79,3.7,0.3447788958561777,해외주식,178177,4382,5164
139260,TIGER 200 IT,1.56,-0.71,0.043456423218943274,국내 업종/테마,72752,1878,5066
091160,KODEX 반도체,1.97,6.05,0.4205459296290709,국내 업종/테마,396484,11416,4905
481060,KODEX 미국30년국채타겟커버드콜(합성 H),0.7,-5.99,-0.2879726929138654,채권,694459,6352,4874
091180,KODEX 자동차,1.71,0.44,0.07344737588179773,국내 업종/테마,170631,3090,4873
466920,SOL 조선TOP3플러스,2.61,14.37,0.7856286490300107,국내 업종/테마,1651109,25755,4863
453810,KODEX 인도Nifty50,0.74,1.51,0.1246043186043011,해외주식,461085,6485,4833
469830,SOL 초단기채권액티브,0.01,0.32,0.01623441763598743,채권,408342,21417,4817
272580,TIGER 단기채권액티브,0.01,0.25,0.013190261176276308,채권,657694,36201,4807
114260,KODEX 국고채3년,0.14,0.0,-0.0027364202219337663,채권,14310,884,4627
292150,TIGER TOP10,1.29,-2.7,-0.025416658574277662,국내 업종/테마,84563,882,4588
161510,PLUS 고배당주,1.62,-10.39,-0.39691335512463566,국내 업종/테마,423296,6095,4534
455030,KODEX 미국달러SOFR금리액티브(합성),0.46,5.16,0.2505463684122533,채권,1368884,16908,4499
474220,TIGER 미국테크TOP10타겟커버드콜,1.02,10.86,0.5760524015330504,해외주식,984606,14590,4474
439870,KODEX 국고채30년액티브,0.82,-2.0,-0.09406634313318674,채권,25934,3096,4426
462010,TIGER 2차전지소재Fn,2.42,-18.68,-1.0582998550684575,국내 업종/테마,6273933,24118,4090
293180,HANARO 200,1.3,-3.58,-0.10586182586139192,국내 시장지수,97778,3124,4059
226490,KODEX 코스피,1.32,-3.6,-0.09691719050069383,국내 시장지수,131972,3252,3997
491610,1Q CD금리액티브(합성),0.01,0.29,0.015127109539238015,채권,15538,1568,3965
251350,KODEX 선진국MSCI World,0.99,1.62,0.10966003999824336,해외주식,103544,3257,3882
479080,1Q 머니마켓액티브,0.01,0.3,0.01603613201253684,채권,32234,1661,3812
471230,KODEX 국고채10년액티브,0.39,-1.51,-0.08716793476885087,채권,90645,10137,3810
