Code,Name,Volatility,TotalReturn,AvgReturn
459580,KODEX CD금리액티브(합성),0.01,0.29,0.014661294752285059
360750,TIGER 미국S&P500,1.0,2.3,0.1456051141860448
357870,TIGER CD금리투자KIS(합성),0.01,0.28,0.01443816267989062
069500,KODEX 200,1.3,-3.59,-0.10163272952494476
133690,TIGER 미국나스닥100,1.4,4.54,0.3025606034968076
423160,KODEX KOFR금리액티브(합성),0.01,0.27,0.013307769828765359
488770,KODEX 머니마켓액티브,0.01,0.31,0.016023089066704577
449170,TIGER KOFR금리액티브(합성),0.01,0.26,0.013026184030019428
379800,KODEX 미국S&P500TR,0.99,2.37,0.1479843097544514
381170,TIGER 미국테크TOP10 INDXX,1.51,9.67,0.5661406200302667
273130,KODEX 종합채권(AA-이상)액티브,0.29,-0.4,-0.026375070985726334
381180,TIGER 미국필라델피아반도체나스닥,1.93,3.93,0.3440734041770249
122630,KODEX 레버리지,2.63,-8.01,-0.2308198693057218
278530,KODEX 200TR,1.32,-3.57,-0.09752413030058142
455890,RISE 머니마켓액티브,0.02,0.37,0.01919201500338863
310970,TIGER MSCI Korea TR,1.4,-3.7,-0.10113190603627695
458730,TIGER 미국배당다우존스,0.72,-1.67,-0.093289599097931
102110,TIGER 200,1.32,-3.66,-0.10511471666777186
481050,KODEX CD1년금리플러스액티브(합성),0.01,0.28,0.014422931114167481
453850,ACE 미국30년국채액티브(H),0.7,-6.38,-0.30568807103739604
371460,TIGER 차이나전기차SOLACTIVE,1.65,-0.11,-0.027615533134976465
379810,KODEX 미국나스닥100TR,1.41,4.59,0.30661801706409986
233740,KODEX 코스닥150레버리지,3.96,-6.93,-0.04975943865045673
360200,ACE 미국S&P500,1.0,2.34,0.14644190381403965
214980,KODEX 단기채권PLUS,0.01,0.21,0.012179994587695475
385540,RISE 종합채권(A-이상)액티브,0.24,-0.39,-0.021173984970964677
453540,TIGER 25-10 회사채(A+이상)액티브,0.02,0.23,0.012490454984557253
367380,ACE 미국나스닥100,1.41,4.58,0.3058299564741424
252670,KODEX 200선물인버스2X,2.63,7.23,0.2394388007717919
477080,RISE CD금리액티브(합성),0.01,0.3,0.014620059840881883
229200,KODEX 코스닥150,2.09,-2.79,-0.005625474436826728
476550,TIGER 미국30년국채커버드콜액티브(H),0.7,-6.06,-0.28519003520694974
494900,TIGER 25-12 금융채(AA-이상),0.02,0.26,0.012917039028469968
