Code,Name,Volatility,TotalReturn,AvgReturn,Sector,Volume,Amount,Marcap
196170,알테오젠,4.42,-7.69,0.05693969143255371,생물공학,593351,180303958000,15995648400000
247540,에코프로비엠,2.7,-23.55,-1.280476313378261,전기제품,459369,48872997500,10318041792000
028300,HLB,2.73,-0.27,0.17351370786284845,건강관리장비와용품,619817,45655584300,9643837582200
086520,에코프로,2.29,-25.2,-1.5348365224975664,화학,917528,51268843100,7349236368000
277810,레인보우로보틱스,8.19,47.49,2.2520980544862104,기계,728153,153857677100,4103069967000
141080,리가켐바이오,4.82,3.03,0.6367168482575265,제약,702352,77362158200,3983204774400
000250,삼천당제약,8.35,48.28,2.446335293364113,제약,318717,47625281000,3537386777600
214150,클래시스,4.16,7.72,0.5848208631517859,건강관리장비와용품,382465,19622641050,3425945965700
145020,휴젤,3.51,1.16,0.19387708405560536,생물공학,118197,31527462500,3308558662500
058470,리노공업,2.76,25.87,1.2902272482668298,반도체와반도체장비,110521,21833453700,3017989260000
065350,신성델타테크,7.74,38.97,2.1666973204253894,가정용기기와용품,585025,65602680600,2960021199600
348370,엔켐,6.53,-21.9,-0.12996666355993952,전기제품,168708,22460198700,2830881172500
214450,파마리서치,3.94,18.68,1.0702403353745582,건강관리장비와용품,124127,32732672000,2737750800000
035900,JYP Ent.,3.25,-10.23,-0.6048123535480653,방송과엔터테인먼트,498428,33926583300,2401996459200
087010,펩트론,8.29,7.42,1.122155384130229,생물공학,368077,36733005900,2327405265000
068760,셀트리온제약,3.94,-0.52,0.1877195491148465,제약,163659,8980885800,2279876567600
403870,HPSP,3.42,1.73,0.2583349306048787,반도체와반도체장비,462920,12081357050,2201036115200
257720,실리콘투,5.62,19.5,1.6297555000455115,인터넷과카탈로그소매,1743470,59407188000,2051427985800
950160,코오롱티슈진,7.23,23.72,1.2737915088847682,생물공학,228535,5432985200,1923087122000
328130,루닛,6.54,4.79,0.2817353073583945,건강관리기술,1022287,66825811100,1898654240000
263750,펄어비스,4.27,-27.82,-1.5059803142105364,게임엔터테인먼트,197903,5561778350,1808577118250
039030,이오테크닉스,5.38,15.59,1.2891226129634885,반도체와반도체장비,118138,16647261700,1781406930000
237690,에스티팜,3.62,-5.11,-0.17074369266219586,제약,120855,10525491300,1719555474000
041510,에스엠,3.04,-12.8,-0.7934037694025997,방송과엔터테인먼트,184848,13309499800,1669784330500
214370,케어젠,3.86,20.69,1.169869658068619,건강관리업체및서비스,339888,10021173200,1598021250000
140860,파크시스템스,2.9,13.81,0.5980542599841077,전자장비와기기,40435,9013064500,1589673767500
178320,서진시스템,3.29,-2.15,0.34288687223231745,전기제품,346775,9411408300,1538381541900
095340,ISC,4.54,36.99,1.7716647778901244,반도체와반도체장비,212210,15158872900,1483794060000
310210,보로노이,6.5,-6.07,0.6049462469418512,제약,119965,9545258400,1475869996800
018290,브이티,8.45,14.01,2.1682498666563226,화장품,918246,37837069550,1456978884900
298380,에이비엘바이오,4.26,3.48,0.4603438203035326,생물공학,427846,12779665150,1436387774500
089030,테크윙,5.67,9.48,0.6907741492699238,반도체와반도체장비,640375,24328699200,1423173874500
036930,주성엔지니어링,3.06,6.25,0.7194263596953621,반도체와반도체장비,269040,7854331100,1406232549750
293490,카카오게임즈,5.42,-12.83,-0.6238250004721002,게임엔터테인먼트,333786,5444758810,1350210972700
007390,네이처셀,4.12,-6.14,-0.2589627421902934,생물공학,1359769,29208043000,1328975271400
253450,스튜디오드래곤,2.72,-12.16,-0.6529248951724742,방송과엔터테인먼트,51591,2192685300,1280492014800
357780,솔브레인,2.51,-5.45,-0.29591887726153954,반도체와반도체장비,14306,2318395900,1267906258000
096530,씨젠,3.28,-1.02,0.1978466736312623,생명과학도구및서비스,1320344,32633097850,1263869054800
067630,HLB생명과학,2.07,-1.96,-0.014153245864599873,제약,498084,5066065460,1222494323430
204270,제이앤티씨,5.64,-2.15,0.007788731289897655,핸드셋,539575,10708198060,1185893553000
