닉네임,날짜,내용,종목
단타를노린다,2025-01-10T12:42:05+09:00,제바알…. 좀 올라라 ㅠㅠㅠㅠㅠ,005930
아르네슬롯,2025-01-10T12:41:48+09:00,한 달 기다려서 4만원 힘들었네요,005930
두두다14,2025-01-10T12:41:35+09:00,가니깐,005930
오늘은내가고점판독기,2025-01-10T12:41:12+09:00,"미장만 하던 주린이는 삼전 들어오니 그저 놀랍습니다
여기서 다들 무슨 인내를 쌓고 계신겁니까…
차트가 침대축구 마냥 편안하네 ㅋㅋ;; 오르질 않아 ~",005930
주식작전사령부,2025-01-10T12:40:12+09:00,꾸준매 미라클 가즈아!,005930
리차드DG,2025-01-10T12:39:50+09:00,"아 몰랑
가즈아",005930
섬노예,2025-01-10T12:39:16+09:00,"삼성자동차부활ㅋㅋㅋ
삼성전기자동차
배터리 sdi
계기판(QLED)갤럭시 시리즈와 연동가능
인포메이션화면(갤럭시탭)
뒷자석모니터(갤럭시탭)
스피커 (하만카돈)
차체(삼성중공업)
모터(아~몰랑 그냥만들어봐)
기본가격 4천만원
실구매가격 국가보조금받고 지자체보조금받고 3천중후반
삼전 주주 5%할인
이상 이상한 상상하는 주주1인 ㅋ",005930
까피민,2025-01-10T12:39:15+09:00,"개뿔 이지만 ㅌㅋㅋㅋ
제발 7만",005930
사랑꾸,2025-01-10T12:38:25+09:00,올해 7만전자 가나요?,005930
투도터즈빠,2025-01-10T12:34:56+09:00,"57500원 빨강왔을때 팔걸 닝길
다시 또 파랑이네 몇달째 파랑을 버텼는데 본전오면 걍팔아야겠다",005930
여백l,2025-01-10T12:33:50+09:00,53000 오면 다시 사껭,005930
보일러댁에아버님놔드려야겠어,2025-01-10T12:31:36+09:00,젠슨황이 삼전보고 HBM 다시 설계하라고 발언했는데 주가가 올라갈 이유가,005930
퐈이어fire,2025-01-10T12:18:54+09:00,더 떨어져라 더 줍게,005930
동동파다,2025-01-10T12:12:40+09:00,약속의 점심시간,005930
계란프라이,2025-01-10T12:09:42+09:00,어휴 어제팔길다행이지,005930
삼전뢍,2025-01-10T12:07:22+09:00,"방금 젠슨황 기사 떴어요
삼성꺼 탑재한다고 떴습니다 ㅅㅅ",005930
IIlIllIlll,2025-01-10T12:07:07+09:00,한국 개미들 독하다 독해 ㅋㅋ,005930
아시비김길윤단타로10억드가자,2025-01-10T12:04:46+09:00,그냥 없는 돈 넣어둠,005930
