닉네임,날짜,내용
대괄이깨져도롱,2025-01-09T20:48:41+09:00,젠슨황 거 어데황씨요 장난이 지나친 거 아니오?
불꽃남자3,2025-01-09T20:09:07+09:00,삼전안사면 뭐살건데
늘푸르다람쥐,2025-01-09T20:03:12+09:00,단기상승폭은 가져갈챠트긴한데 흠 변동성이 클거같다 60일선에 안착한거보면 좀더상승하고 이평선들이 하나로수렴할때 하방으로 한번더 빠질만법도하다 크게들어갈만한 차트는 아니라서 단기로 조금만먹고 빠지면 한번더 들어갈타이밍 나올거같다
군메디컬,2025-01-09T19:50:04+09:00,삼쪽아...
내돈슬퍼,2025-01-09T19:39:55+09:00,이유가 뭔가요
jbejjjdcc,2025-01-09T19:21:52+09:00,Dd..
핑크쏘세지,2025-01-09T19:20:19+09:00,구매대기 왜캐 마늠
로제노이,2025-01-09T19:15:17+09:00,엔디비아 공급 떳다아
진민호,2025-01-09T19:13:39+09:00,"제가 1주를 갖고 있는데 평단이 65층이에요
팔아야할까요 ㅜㅜ"
대괄이깨져도롱,2025-01-09T20:48:41+09:00,젠슨황 거 어데황씨요 장난이 지나친 거 아니오?
불꽃남자3,2025-01-09T20:09:07+09:00,삼전안사면 뭐살건데
늘푸르다람쥐,2025-01-09T20:03:12+09:00,단기상승폭은 가져갈챠트긴한데 흠 변동성이 클거같다 60일선에 안착한거보면 좀더상승하고 이평선들이 하나로수렴할때 하방으로 한번더 빠질만법도하다 크게들어갈만한 차트는 아니라서 단기로 조금만먹고 빠지면 한번더 들어갈타이밍 나올거같다
군메디컬,2025-01-09T19:50:04+09:00,삼쪽아...
내돈슬퍼,2025-01-09T19:39:55+09:00,이유가 뭔가요
jbejjjdcc,2025-01-09T19:21:52+09:00,Dd..
핑크쏘세지,2025-01-09T19:20:19+09:00,구매대기 왜캐 마늠
로제노이,2025-01-09T19:15:17+09:00,엔디비아 공급 떳다아
진민호,2025-01-09T19:13:39+09:00,"제가 1주를 갖고 있는데 평단이 65층이에요
팔아야할까요 ㅜㅜ"
주주린이쓰,2025-01-09T19:06:03+09:00,53층가면 들어갈게
팔란티어광신도,2025-01-09T19:04:39+09:00,욕심부리지맑고
오오타니임,2025-01-09T18:55:49+09:00,ㅇㅇ
내돈슬퍼,2025-01-09T19:39:55+09:00,이유가 뭔가요
jbejjjdcc,2025-01-09T19:21:52+09:00,Dd..
핑크쏘세지,2025-01-09T19:20:19+09:00,구매대기 왜캐 마늠
로제노이,2025-01-09T19:15:17+09:00,엔디비아 공급 떳다아
진민호,2025-01-09T19:13:39+09:00,"제가 1주를 갖고 있는데 평단이 65층이에요
팔아야할까요 ㅜㅜ"
주주린이쓰,2025-01-09T19:06:03+09:00,53층가면 들어갈게
팔란티어광신도,2025-01-09T19:04:39+09:00,욕심부리지맑고
오오타니임,2025-01-09T18:55:49+09:00,ㅇㅇ
