닉네임,날짜,내용
구부랑길고양이,2025-01-10T11:32:47+09:00,진짜 앞자리 6을 못보네
부자71,2025-01-10T11:31:00+09:00,"세상 상황을 아는것도 주식과 연결되듯이
중국은 내정간섭중입니다.
정치인과 결탁되어 국민은 모르는체 당할수있으니
정신바짝차리세요.
https://naver.me/xyTMiqKd"
슈랭슈랭,2025-01-10T11:30:20+09:00,"울 삼전이는 시간이 약이네요.스트레스 지지~
어제 뉴스에 댓글에 댓글보고 혼자 빵터짐요 ㅋ.
행복한 하루 되세요. ~♡"
공동우승,2025-01-10T11:30:16+09:00,4만 가즈아~~~
쓉거지키우기,2025-01-10T11:30:16+09:00,얘네 뭐하냐
올려줘요슈퍼파월,2025-01-10T11:26:53+09:00,젠승황이 거의 따시키는 느낌인데요
효효쟝,2025-01-10T11:26:45+09:00,장난치지말고 10만원 가라
목표는x2,2025-01-10T11:26:26+09:00,윤석열 모가지 싹둑하기 좋은날이구나
호호녀녀,2025-01-10T11:24:21+09:00,하 삼전 진짜 망하나
불장가재,2025-01-10T11:23:44+09:00,버거형들 자러갈시간이다 이제 오르겠네 ㅋㅋ
칠공주호랑이,2025-01-10T11:23:31+09:00,삼성전자 팬
NOMADIAN,2025-01-10T11:20:25+09:00,"삼전을 왜사는데 여직원수 많더만
여직원 많은 기업은 그냥 망하게 되어있다"
존버하짘,2025-01-10T11:20:20+09:00,"중국에 기술 유출이 되는데 법적으로 처벌이 약하다.
참수형까지 시켜야합니다.
언제까지 쌔쌔정치 그만!"
리드엘,2025-01-10T11:19:41+09:00,"미국채 고금리 + 미증시 강세
유동성 씨가 마르고 있는게 느껴지네
중국이 진짜 버틸 수 있을까?
소련이 무너진 이유가 다 있었구나"
한숨두숨,2025-01-10T11:19:09+09:00,진짜 뭐같은 주식이네
익절바다,2025-01-10T11:19:06+09:00,오후에 오르겠어여~ 외인 기관 팔만큼 팔았네여
반박시니말이맞아요,2025-01-10T11:18:57+09:00,그래도 6만전자는 한번 봐야지~
기맹밍,2025-01-10T11:18:12+09:00,다시는 추매 안할게요 내보내주세요 제발요
짹찌기,2025-01-10T11:16:57+09:00,"야금야금 모아서 400주 딱 만들었슴댜
단타맛집된 삼쪽이는 내년에 보도록할게여"
어끄제맞낀몸빼바지,2025-01-10T11:16:35+09:00,삼성전자의 마법 5년넘게 5만원대유지 불가능을 가능케 하는 최첨단삼성 굿
초보주돌이,2025-01-10T11:16:21+09:00,어이가 없다
아빠는강해져야한다,2025-01-10T11:16:21+09:00,8 만원까지 가주세요!
1초당10억,2025-01-10T11:15:25+09:00,월요일 상태 보고 진입..
삼전가자1,2025-01-10T11:13:34+09:00,기관한테 당한겨 ㅋㅋㅋㅋ
ETF지박령,2025-01-10T11:12:53+09:00,49000원대 매수대기
떡상시그널,2025-01-10T11:10:04+09:00,정찰
무적용님,2025-01-10T11:08:53+09:00,6만원 넘으면 매수 그전에는 좀 올랐다고 신나서 인증하는 건 조심
알타비스타,2025-01-10T11:08:00+09:00,하이닉스가 시가총액1위가될거라는말이 실현될지
즐거운마음,2025-01-10T11:07:39+09:00,미끄럼 타고 흐르네.
Designseok,2025-01-10T11:07:26+09:00,오늘은 자사주 매입 안하는가베?
CvKing,2025-01-10T11:07:26+09:00,태초마을 지겹다 좀 올라봐라
Rvi,2025-01-10T11:07:25+09:00,"님들.. 삼전은 이미 망함... 재무만봐도 알잖슴..
실적 낼라고 마케팅 투자에 올인 그저 지붕 뚫린 집이
보수공사 밖에 안됨.. 계속 비는 내릴 것이고
기술력은 딸리고
이미 끝남..
이건희 회장님 때가 좋았지
ㄹㅇ 이녀석은 이제 마누라 자식빼고 싹 다 바꾸는거 아니면 오를수가 없다
8한번 찍고 다시 5로 감 .
이 글은 성지가 되길"
왜냐고구마,2025-01-10T11:07:06+09:00,지금이 살 타이밍 근데 더 떨어지진않겠지..?
삼전가자1,2025-01-10T11:06:50+09:00,오르는건 어렵지만 내리는건 쉬워
주식고수인데,2025-01-10T11:06:41+09:00,개쓰레ㄱ잡주진짜
꽃보다햇살,2025-01-10T11:06:08+09:00,72에 시작해서 이제 겨우 평단 58... 야금야금 사는중...
투자마스타,2025-01-10T11:05:35+09:00,자사주라도 매입해라이
러블리소울,2025-01-10T11:04:11+09:00,아 단가 겁나좋내 사고싶어 그러나 전재산 물려있내 역시 리스크 관리차 돈을좀 냄겨놧어야 했내ㅜ 꾸준히 우상향할줄 알앗던 나를 책망해
이지베이션,2025-01-10T11:03:27+09:00,"내릴때 사고 오를때 팔아야지
왜 반대로 오늘때 사고 내릴때 파십니까?"
조용히하고,2025-01-10T11:03:03+09:00,장기
수상스키,2025-01-10T11:00:58+09:00,징징거리는사람이 많을때 사기
도시천사,2025-01-10T10:59:55+09:00,3개월 묶여 있는데 이제 그만 버려야할듯 이거 버리고 딴데 투자하면 몇일안에 원복 가능
Smileyyy,2025-01-10T10:58:40+09:00,하이닉스가 낫지 않나요
코로나마스터,2025-01-10T10:57:53+09:00,ㅋㅋ 이게 우리나라 1등 기업 클라스?
