닉네임,날짜,내용,종목
정당한세금,2025-01-10T09:04:04+09:00,Kodex랑 Tiger 중에 어디가 더 좋아여?,459580
골드준,2025-01-06T20:31:08+09:00,이거 팔때 수익으로 종소세나 건보료 적용되는거죠? 안팔고 가지고있으면 아무 영향없죠? 배당주들 때문에 금융소득세 조절해야해서요,459580
24년텐버거도전,2025-01-06T09:12:42+09:00,"연저펀에 모아가는 중입니다..

현재 6주.",459580
밍꽁꽁,2025-01-04T12:12:39+09:00,"2년째 토스 1.5% 파킹통장에 천 정도 넣어두고 여기서 한달에 3~4번 정도 이체를 왔다갔다 하고 있는데요. (매달 항상 천 수준으로 유지)

이 상품으로 파킹을 바꿀 경우 금리는 훨씬 높지만
1) 이틀 후 현금화 가능
2) 매도 매수 시 매번 수수료 붙음
3) 종소세에 해당돼서 다른 주식 상품들이랑 같이 보면서 연간 단위로 2천 이하로 맞춰야 함

이 3가지를 고려해야 하는 게 머리가 너무 아프더라고요. 그럼에도 이 상품으로 파킹을 바꾸는 게 더 나은 걸까요?",459580
호호호히히히,2024-12-30T16:22:39+09:00,연이자 3.5% 정도인건가?,459580
우치하,2024-12-24T22:06:24+09:00,"올 해 국장 투자자 중 이종목 들고만 있었으면 상위 5%.
왠지 슬프네요. 일단 파킹 (61주 보유)",459580
깔삼2,2024-12-24T12:05:20+09:00,"전에는 이게 좋았지

지금은 원화가 종이쪼가리라
달러로 바꾸고 채권 사는게 더 낫다 ㅋㅋㅋㅋ",459580
월급쟁이탈,2024-12-23T13:41:09+09:00,달달,459580
투자의기준,2024-12-20T01:43:13+09:00,최고의 국내주식,459580
성남호랭이,2024-12-19T18:24:02+09:00,이거는 복리 개념인가요?,459580
야수의감각,2024-12-19T18:04:55+09:00,천국의계단,459580
wksja,2024-12-19T18:03:25+09:00,.,459580
킹캄파,2024-12-18T23:49:04+09:00,"은행예탁은 원금에 1년 이자를 주는데 이친구는 일일이자가 나오면 원금이 늘어 날텐데 하루하루 늘어나는 원금에 이자가 나오는건지요?
그리고 예금자보호법 이 적용 되는 건가요? 목돈 2000만원이 생겨 예탁을 하려다 이 etf 를 알게 되었내요.",459580
공성전,2025-01-12T00:24:32+09:00,"항상 오늘이 가장 싸다
Fact",360750
난자닌자놈자,2025-01-10T19:16:07+09:00,😭 주린이라서 배당금 위주로 좀 해보다가 tiger도 구매했는데 지금부터 1주일에 1주씩 걸어놔도 올라갈까요?,360750
냠냠눔,2025-01-10T19:02:55+09:00,빅테그 비중이 좀 높은게 다인가요?,360750
고고고나,2025-01-10T16:46:46+09:00,형님들 뭘추천?,360750
원지안,2025-01-10T16:34:51+09:00,isa 만기되면 주식 다팔고 다시 3년 가입해야 하는거에요?,360750
메이킹터시시,2025-01-10T15:44:24+09:00,..... 아니 돈 들어왔는데 그래서 1주 더 살려고 하는데 왜 ㅠㅠㅠㅠㅠ 오르냐고 ㅠㅠㅠㅠㅠㅠ,360750
에센피만삼,2025-01-10T15:29:16+09:00,슨피야 정신 차렷구나,360750
llllililil,2025-01-10T14:15:32+09:00,이게올라??.. 환율때문인가…,360750
Cat개조아,2025-01-10T12:36:37+09:00,저도 샀어요,360750
UNNAMED00,2025-01-10T11:52:25+09:00,16000대에 모으던 작년 2월이... 그때 더 살걸,360750
삐약삐약뇸,2025-01-10T11:09:11+09:00,적금처럼 주마다 1주씩 그냥 모아두는중🤧,360750
초린80,2025-01-10T10:32:33+09:00,248주 모았습니다.,360750
나낭쮸,2025-01-10T10:24:55+09:00,가보자 가보자,360750
지음님,2025-01-10T10:11:58+09:00,해외주식으로 투자하면 250만원 이상 수익보면 세금을 내는데요. 이 주식으로 투자하면 대주주가 아니면 세금이 없는게 맞나요?,360750
오징어소녀,2025-01-10T09:47:09+09:00,안년하세요,360750
에어프로,2025-01-10T09:44:16+09:00,20주 샀어요 팁좀주세여 ㅜㅜ,360750
주린이의커다란꿈,2025-01-10T09:18:24+09:00,Isa로 일단 옮겨놔야겠다,360750
박지성c,2025-01-10T00:31:44+09:00,"오늘은 미장이 안열렸는데,
내일 이 종목은 가격이 뭘로 결정되나요?",360750
준모임댜아,2025-01-10T00:01:53+09:00,토스 증권으로 주식 주문 하는 것보다 isa 계좌 활용하는 게 더 좋은 방법일까요 ? 너무 고민되네요 ㅜㅠㅠ,360750
우량주매수인,2025-01-09T22:17:13+09:00,"TIGER ETF 는 약 3년전 부터 투자를 시작 했던것 같습니다. 22년 큰 폭락장을 두드려 맞고 버틴 이후 24년 부터는 나름대로 하락을 예상하며
적극적으로 매수하지 않고 여기저기 기웃거리며 좀더 오룰만한 주식 없을까하고 방황 하며 1년 이란 시간을 보냈습니다.

올해는 다시 초심으로 돌아가서
연금저축에서 투자하는 타이거 시리즈
자동 매수 걸어 놓으렵니다.
한눈 안팔겠습니다.",360750
shdn,2025-01-09T17:44:34+09:00,이것도 배당 들어와요?,360750
개굴잉잉익,2025-01-09T14:32:34+09:00,한달에 한번 사봐요 ~,360750
페이보릿,2025-01-09T14:27:02+09:00,장투로 넣는 종목이죠?,360750
빨간신호등만,2025-01-09T13:18:27+09:00,첨 사봅니다,360750
뿌에에에에에에에엥,2025-01-09T11:01:57+09:00,늦게 진입했던지라 평단 와버렸는데 빼야하나요..?,360750
국민일보,2025-01-09T09:57:48+09:00,https://m.site.naver.com/1ApGS,360750
투자의마녀,2025-01-09T09:38:25+09:00,"21,450원",360750
쩡훈이,2025-01-09T09:29:07+09:00,이건 배당금언제주나요?,360750
시하시니,2025-01-09T00:34:01+09:00,....ㅡㅜ,360750
Allahbong,2025-01-08T22:03:11+09:00,우마이,360750
자산가되고싶어,2025-01-08T21:45:45+09:00,지금 구매 안되나요??,360750
해롱이vv,2025-01-08T19:09:20+09:00,잠시안녕 또보자,360750
YHJ1217,2025-01-08T15:31:49+09:00,양자 게시판보단 많이 평화롭군,360750
귀염둥이스머프,2025-01-08T15:00:42+09:00,"아 늦잠자느라 싸게 못샀네 ㅠ
8시30분 까지 깨있었는데 힝",360750
부채꼴,2025-01-08T13:53:02+09:00,"주식을 투기해버린 저 자신에 대해 반성합니다...
오랜만에 주식창을 봤는데, NVIDA발 일시적인 미증식 하락이었을 뿐인데 무섭다고 바로 제 자신에 대해 반성합니다....",360750
응애나아기주린이잉,2025-01-08T11:51:12+09:00,isa는 급전 필요할때는 손해죠?,360750
나낭쮸,2025-01-08T11:40:34+09:00,또한번 진입,360750
김주황,2025-01-08T11:26:10+09:00,바겐세일!,360750
코안르,2025-01-08T11:10:09+09:00,"주린이 때 처음 접해본 게 이 주식이에요
지금도 주린이긴 합니다 ㅎ
느낀 점은.. 슨피는 넣어두고 모른 척 해야 맞는 것 같아요 처음 넣었을 때 19.- 18.- 이었는데 오랜만에 오니까 21.- 이네요...

오늘 !! 그리고 지금 !! 이 제일 싸다 !!",360750
이시대의귀요미,2025-01-08T09:52:17+09:00,더 떨어져라❤️❤️,360750
태완두콩,2025-01-08T09:42:22+09:00,한동안은 아프네요,360750
유튜브로,2025-01-08T09:08:31+09:00,"타이거 주식 수이구발생 후 팔때
세금이 해외 주식 1년 250만원 초과시 세금 많이 땐다고 하는데

타이거 이것도 동일하게 적용되나요??",360750
IlIllllIl,2025-01-08T09:02:40+09:00,10분할로 샀는데 마2퍼네…,360750
도파민으로경제적자유,2025-01-08T09:02:03+09:00,어제 추매했는데 바겐세일이네,360750
링가링가링가,2025-01-08T08:54:20+09:00,ㅠㅠ,360750
라삐삐,2025-01-08T08:51:39+09:00,폭삭떨어지겠네 ㅜ,360750
티티지지,2025-01-07T22:32:20+09:00,"미장 휴장하면 그 다음날 이거 거래되나요?
가격 반영이 안될텐데 궁금합니다.",360750
우리반달,2025-01-07T21:29:40+09:00,처음주식이라 지인추천요,360750
whwkrrl,2025-01-07T20:50:46+09:00,원화가치가 올라가면 이것도 같이 올라가나요??,360750
산타렐라,2025-01-07T15:48:21+09:00,퇴직연금으로 선정했는데 나쁘지 않나요?,360750
수상스키,2025-01-07T14:14:41+09:00,분할매수,360750
삽든쥐,2025-01-07T13:51:53+09:00,환율 ㅠㅠ,360750
주식모아집을사자,2025-01-07T13:14:03+09:00,"워렌이 현금비중을 늘렸네요
이번년도 나스닥은",360750
미국이,2025-01-07T11:53:15+09:00,생초짜 주린입니다! Isa계좌를 방금 만들어두기는 했는데 토스에 넣어둔 금액에서 250만원 이상 수익 안 나면 옮길필요가 없는것이지요? 현재 20주 정도밖에 없고 수익도 몇퍼 없어서 고민되네요… 고수분들이면 어떻게 하시려나요?,360750
유딩풍,2025-01-07T11:39:49+09:00,주린이.. 첫주식은 그냥 이거 사라고해서 샀어용… 오르겠져?…,360750
칭빙방붕,2025-01-07T10:12:30+09:00,굿,360750
박지성c,2025-01-07T09:52:33+09:00,S&P 올랐는데 이건 왜 떨어짐?;,360750
나낭쮸,2025-01-07T09:34:45+09:00,"내가 답답해서 고객센터에 전화하고 알아온 정보
난 2023년에 ISA 계좌를 만듬 만기가 2026년이라 지금 계좌만 만들고 아무것도 안한상태 내년에 만기가 끝나니깐 아까워서 전화로 물어봄
ISA 계좌는 매매차익 세제혜택 X 오로지 배당 . 이자 소득 15.4% 만 세제 혜택만 줌
만기는 상관이있냐 물어보니 상관없다함 의무 유지기간 지나고서 세금혜택이 사라지는거 X 일반적인 ISA 계좌 세재혜택은 200만원 까지니 그냥 배당으로 200만원 벌고 혜지하면 여기서 15.4% 세금 안땐다 이소리
결론 : 그래서 걍 지금 5천미만으로 운용하시는분은 걍 편한 계좌로 하다가 ISA 계좌로 넘어가서 배당금 200넘으면 혜지하면됨",360750
BJK217,2025-01-07T08:35:54+09:00,ISA계좌는 어디걸로 만드는게 좋나요??,360750
하이준팦,2025-01-07T00:25:38+09:00,"세금 더 내가면서 Spy 사는 아유가 있음?
#SPY",360750
초밥좋아123,2025-01-06T20:15:12+09:00,이거 살 수 있는 시간이 있나요?,360750
난나나나9,2025-01-06T19:15:03+09:00,"안녕하세요 주린이입니다.
s&p 500 or splg 7
qqq 3
비율로 꾸준히 적립식으로 모아가려합니다
어떨까요 ?",360750
라삐삐,2025-01-06T16:22:11+09:00,추매맥,360750
오징어소녀,2025-01-06T16:03:47+09:00,돈생겨서 사야지 하던거 삿는데 머임 큰일 난거임?,360750
망했구,2025-01-06T15:11:35+09:00,이것도 spy처럼 오를까요??,360750
나낭쮸,2025-01-06T14:34:25+09:00,고평가 VS 저평가,360750
웅디기,2025-01-06T14:07:11+09:00,배당금 1월 몇일에 들어올까요,360750
1원만주세요,2025-01-06T13:04:58+09:00,"연금저축계좌에 TIGER S&P500, RISE 나스닥 100 모으면서 느낀점 :
1. 저 2종목은 오늘이 최저점이다.
2. 그냥 여윳돈 있으면, 떨어지는거 기다리지 말고 오늘 사는게 이득이고, 정신적으로 편하다.

그리고 되도록 ISA나 연금저축계좌로 매수하세요~",360750
주식모아집을사자,2025-01-06T10:58:27+09:00,Isa로……,360750
나는호9,2025-01-06T10:10:30+09:00,"전세금 마련을 위해 다 팔았습니다^^
성투하세요~",360750
메이킹터시시,2025-01-06T09:37:38+09:00,한주 더 살려고 했는데 오르네 ?,360750
양손에폰들고,2025-01-06T09:01:19+09:00,아이고 오늘 월급날 인데 오르네 떨구지ㅠ,360750
아나테마,2025-01-06T09:00:34+09:00,오늘도 좋고,360750
난나나나9,2025-01-05T20:13:56+09:00,"23살 이것저것 찾아보는 주린이입니다...
지금 가용할 수 있는 돈은 500만원정도인데,,
저는 isa 계좌로 s&p 500 , schd (고정)
voo나 qqq중 한개를 고민 하고 있는 상황입니다.
무엇을 넣을지 ,, 고민도 되고 이거에 대한 비율을 어찌 맞춰야할까요 ?
매달 50-60만원씩 더 넣을 수 있는 상황입니다.
여러분의 생각이 궁금합니다 !",360750
예아푸씨,2025-01-05T19:02:13+09:00,"S&P 입문.. 3주 일단 사볼게용 공부겸
아주 멀리보고 꾸준히 사는게 좋겠지요??",360750
hoonnyy,2025-01-05T12:00:51+09:00,"조언 부탁드립니다
예를들어 1억이 있고 (추가로 들어오는 돈은 없는상태)
적립식으로 투자 하려고 하는데
1년으로 나누어 830만원씩 12번 1년으로 끊어야 하는건지
아니면 기간을 좀 더 늘려 2년으로 나누어 416만원씩 2년잡아 넣어야 하는건지.

1억을 적립식 투자한다고 할시 이럴경우 기간설정을 어떻게 하는게 좋은 방법일까요. 고수님들 조언좀 부탁드립니다.",360750
채채예예,2025-01-05T10:42:39+09:00,"안녕하세요
늦었지만 이제라도 해보려고 공부하는 셈으로 2주 일단 사봤어요
앞으로 꾸준히 매수 할 생각인데
시드는 적지만 사팔 안하고 꾸준히 모으다보면
언젠간 빛을 보겠죠? 모두 성투 하세요👍",360750
원래목적은장투인투기꾼,2025-01-05T01:29:25+09:00,"월가의 NZBA 탈퇴와 화석연료 투자
https://m.blog.naver.com/allen_0430/223714963479",360750
웅디기,2025-01-04T14:37:06+09:00,요즘 계속 마이너스.. 요지부동이네,360750
주식모아집을사자,2025-01-04T14:32:21+09:00,월욜 날라갈거 같은뎅…..,360750
내가샀다하면떡상,2025-01-04T10:05:36+09:00,추매 나이스~~~~,360750
럭키캔디,2025-01-04T03:50:07+09:00,"연말정산때문에 연저펀 만들고 500넣어두었는데
S&p500/나스닥100 /배당나우존스 3개에 나눠서 한번에 매수하는게 좋을까요..?🥹",360750
