업종명,종목명,코스닥 여부
건강관리장비와용품,젠큐릭스,True
건강관리장비와용품,HLB,True
건강관리장비와용품,아스타,True
건강관리장비와용품,바이오프로테크,False
건강관리장비와용품,노보믹스,False
건강관리장비와용품,엘앤씨바이오,True
건강관리장비와용품,나눔테크,False
건강관리장비와용품,오건에코텍,False
건강관리장비와용품,하스,True
건강관리장비와용품,알파녹스,True
건강관리장비와용품,유엑스엔,False
건강관리장비와용품,티앤엘,True
건강관리장비와용품,하이로닉,True
건강관리장비와용품,진시스템,True
건강관리장비와용품,노을,True
건강관리장비와용품,SCL사이언스,True
건강관리장비와용품,수젠텍,True
건강관리장비와용품,바이오다인,True
건강관리장비와용품,인바디,True
건강관리장비와용품,제테마,True
건강관리장비와용품,바이오플러스,True
건강관리장비와용품,아이엠지티,False
건강관리장비와용품,오스테오닉,True
건강관리장비와용품,켈스,False
건강관리장비와용품,제노레이,True
건강관리장비와용품,레이언스,True
건강관리장비와용품,클래시스,True
건강관리장비와용품,세종메디칼,True
건강관리장비와용품,디알젬,True
건강관리장비와용품,타스컴,False
건강관리장비와용품,한국비티비,True
건강관리장비와용품,애니메디솔루션,False
건강관리장비와용품,레이저옵텍,True
건강관리장비와용품,에이엠시지,False
건강관리장비와용품,신흥,False
건강관리장비와용품,인터로조,True
건강관리장비와용품,인트로메딕,True
건강관리장비와용품,세니젠,True
건강관리장비와용품,메디쎄이,False
건강관리장비와용품,리메드,True
건강관리장비와용품,피제이전자,True
건강관리장비와용품,프로티아,True
건강관리장비와용품,펨토바이오메드,False
건강관리장비와용품,뷰웍스,True
건강관리장비와용품,한컴라이프케어,False
건강관리장비와용품,휴비츠,True
건강관리장비와용품,마이크로엔엑스,False
건강관리장비와용품,세운메디칼,True
건강관리장비와용품,시지메드텍,True
건강관리장비와용품,이오플로우,True
건강관리장비와용품,한국비엔씨,True
건강관리장비와용품,비스토스,True
건강관리장비와용품,디알텍,True
건강관리장비와용품,엠아이텍,True
건강관리장비와용품,에스디바이오센서,False
건강관리장비와용품,아이오바이오,False
건강관리장비와용품,비올,True
건강관리장비와용품,메타바이오메드,True
건강관리장비와용품,씨유메디칼,True
건강관리장비와용품,엘앤케이바이오,True
건강관리장비와용품,덴티스,True
건강관리장비와용품,바텍,True
건강관리장비와용품,원텍,True
건강관리장비와용품,디오,True
건강관리장비와용품,녹십자엠에스,True
건강관리장비와용품,아이센스,True
건강관리장비와용품,원바이오젠,True
건강관리장비와용품,플라즈맵,True
건강관리장비와용품,바이오노트,False
건강관리장비와용품,멕아이씨에스,True
건강관리장비와용품,시너지이노베이션,True
건강관리장비와용품,제이브이엠,True
건강관리장비와용품,피플바이오,True
건강관리장비와용품,파마리서치,True
건강관리장비와용품,큐렉소,True
건강관리장비와용품,엔젤로보틱스,True
건강관리장비와용품,셀바스헬스케어,True
건강관리장비와용품,덴티움,False
건강관리장비와용품,지노믹트리,True
건강관리장비와용품,제놀루션,True
건강관리장비와용품,메디안디노스틱,False
건강관리장비와용품,레이,True
건강관리장비와용품,메디아나,True
건강관리장비와용품,마이크로디지탈,True
건강관리장비와용품,미코바이오메드,True
건강관리장비와용품,라메디텍,True
건강관리장비와용품,피앤에스미캐닉스,True
건강관리장비와용품,한스바이오메드,True
건강관리장비와용품,코렌텍,True
건강관리장비와용품,나이벡,True
건강관리장비와용품,넥스트바이오메디컬,True
건강관리장비와용품,에스지헬스케어,True
건강관리장비와용품,루트락,False
건강관리장비와용품,셀바스AI,True
건강관리장비와용품,파인메딕스,True
반도체와반도체장비,에이엘티,True
반도체와반도체장비,케이엔제이,True
반도체와반도체장비,디아이,False
반도체와반도체장비,티엘엔지니어링,False
반도체와반도체장비,피에스케이홀딩스,True
반도체와반도체장비,테크윙,True
반도체와반도체장비,시지트로닉스,True
반도체와반도체장비,큐에스아이,True
반도체와반도체장비,이오테크닉스,True
반도체와반도체장비,에이팩트,True
반도체와반도체장비,티에프이,True
반도체와반도체장비,예스티,True
반도체와반도체장비,제이엔비,True
반도체와반도체장비,넥스트칩,True
반도체와반도체장비,퀄리타스반도체,True
반도체와반도체장비,에이직랜드,True
반도체와반도체장비,엑시콘,True
반도체와반도체장비,ISC,True
반도체와반도체장비,케이씨텍,False
반도체와반도체장비,한양디지텍,True
반도체와반도체장비,SK하이닉스,False
반도체와반도체장비,제우스,True
